ababuj	أفافوخ
piedrahita	بيذراإِتا
piera	بيرا
pilas	بيلاس
piloña	بيلونا
pina	بينا
pinar	بينار
pinarejo	بيناريخو
pinarejos	بيناريخوس
pineda	بينيذا
pinet	بينيت
pinillos	بينيليوس
pinofranqueado	بينوفرانكياذو
piñor	بينور
pinos	بينوس
pinoso	بينوسو
pintano	بينتانو
pipaon	بيباون
piqueras	بيكيراس
pira	بيرا
pitillas	بيتيلياس
pizarra	بيثارا
pizarral	بيثارال
plan	بلان
planes	بلانيس
plasencia	بلاسينثيا
plasenzuela	بلاسينثويلا
plencia	بلينثيا
pliego	بليغو
plou	بلوو
pobes	بوفيس
poblete	بوفليتي
poboleda	بوفوليذا
pol	بول
polanco	بولانكو
polenino	بولينينو
polentinos	بولينتينوس
polientes	بولينتيس
pollensa	بولينسا
pollos	بوليوس
polopos	بولوبوس
pomar	بومار
pomer	بومير
ponferrada	بونفيراذا
ponga	بونغا
pons	بونس
pontevedra	بونتيفيذرا
pontones	بونتونيس
pontons	بونتونس
ponzano	بونثانو
porcuna	بوركونا
porquera	بوركيرا
porrera	بوريرا
porreras	بوريراس
porriño	بورينو
porron	بورون
portaje	بورتاخي
porto	بورتو
porzuna	بورثونا
posada	بوساذا
posadas	بوساذاس
posadilla	بوساذيليا
potes	بوتيس
povedilla	بوفيذيليا
poyales	بوياليس
poyatos	بوياتوس
poyo	بويو
poyos	بويوس
pozaldez	بوثالديث
pozoantiguo	بوثوانتيغوو
pozohondo	بوثوأندو
pozondon	بوثوندون
pozorrubio	بوثوروفيو
pozoseco	بوثوسيكو
pozuelo	بوثويلو
pradairo	براذايرو
pradales	براذاليس
pradejon	براذيخون
pradena	براذينا
prades	براذيس
pradillo	براذيليو
prado	براذو
pradoluengo	براذولوينغو
pratdip	براتذيب
pravia	برافيا
preixens	برييكسينس
prejano	بريخانو
priego	بريغو
prioro	بريورو
proaza	برواثا
progalo	بروغالو
pruna	برونا
puenteareas	بوينتيارياس
puentedeume	بوينتيذيومي
puentenansa	بوينتينانسا
puenteviesgo	بوينتيفيسغو
pueyo	بوييو
pujerra	بوخيرا
pulgar	بولغار
pulpi	بولبي
pungin	بونخين
purchena	بورتشينا
purujosa	بوروخوسا
purullena	بورولينا
puzol	بوثول
quart	كوارت
quel	كيل
quemada	كماذا
quero	كرو
quesa	كسا
quesada	كساذا
quintanapalla	كينتاناباليا
quintanavides	كينتانافيذيس
quintanilla	كينتانيليا
quintela	كينتيلا
quinto	كينتو
quiroga	كيروغا
quiros	كيروس
quisicedo	كيسيثيذو
quismondo	كيسموندو
rabade	رافاذي
rabanales	رافاناليس
rabasa	رافاسا
rabo	رافو
radona	راذونا
rafales	رافاليس
ragama	راغاما
ragol	راغول
rajadell	راخاذيلي
ramacastañas	راماكاستاناس
ramallosa	راماليوسا
rascafria	راسكافريا
rasines	راسينيس
raso	راسو
rasquera	راسكيرا
rasueros	راسويروس
reales	راليس
rebalsadores	رفالساذوريس
rebollera	رفوليرا
rebollo	رفوليو
recas	ركاس
redona	رذونا
redondela	رذونديلا
regenjo	رخينخو
reillo	ريليو
reina	رينا
reinosa	رينوسا
relleu	رليو
rellinas	رليناس
rena	رنا
renales	رناليس
renedo	رنيذو
renera	رنيرا
rengos	رنغوس
renteria	رنتيريا
reocin	روثين
requejo	ركيخو
requena	ركينا
resoba	رسوفا
respaldiza	رسبالديثا
restiello	رستيليو
retamal	رتامال
retamosa	رتاموسا
retiendas	رتينداس
reus	روس
revillarruz	رفيلياروث
revolcadores	رفولكاذوريس
riahuelas	رياأيلاس
rialp	ريالب
rianjo	ريانخو
riaño	ريانو
riaza	رياثا
ribadavia	ريفاذافيا
ribadeo	ريفاذيو
ribadesella	ريفاذيسيليا
ribadumia	ريفاذوميا
ribaforada	ريفافوراذا
ribafrecha	ريفافريتشا
ribarredonda	ريفاريذوندا
ribatajada	ريفاتاخاذا
ribesalbes	ريفيسالفيس
ribota	ريفوتا
ricla	ريكلا
ricobayo	ريكوفايو
ricote	ريكوتي
riello	ريليو
rielves	ريلفيس
riglos	ريغلوس
rigoitia	ريغويتيا
rilla	ريليا
riner	رينير
rio	ريو
riobarba	ريوفارفا
riocabado	ريوكافاذو
riocaldo	ريوكالدو
riodeva	ريوذيفا
riofrio	ريوفريو
riogordo	ريوغورذو
rioja	ريوخا
riolobos	ريولوفوس
riopar	ريوبار
rios	ريوس
riosa	ريوسا
riotorto	ريوتورتو
ripoll	ريبولي
ripollet	ريبوليت
risco	ريسكو
riudarenas	ريوذاريناس
riudaura	ريوذاورا
riudecanas	ريوذيكاناس
riudecols	ريوذيكولس
riudoms	ريوذومس
riveira	ريفييرا
rivero	ريفيرو
roa	روا
roales	رواليس
robleda	روفليذا
robledo	روفليذو
robledollano	روفليذوليانو
robres	روفريس
rocallaura	روكالياورا
rociana	روثيانا
rodana	روذانا
rodeiro	روذييرو
rodellar	روذيليار
rodenas	روذيناس
rodiezmo	روذيثمو
rodoña	روذونا
rodos	روذوس
rois	رويس
rojales	روخاليس
rollan	روليان
romanones	رومانونيس
roncal	رونكال
roncesvalles	رونثيسفاليس
ronda	روندا
roquetas	روكيتاس
rosal	روسال
rosas	روساس
rosell	روسيلي
rota	روتا
rotova	روتوفا
royuela	رويويلا
ruanes	روانيس
rubena	روفينا
rubi	روفي
rubiales	روفياليس
rubian	روفيان
rubiana	روفيانا
rubio	روفيو
rubite	روفيتي
rudilla	روذيليا
rueda	رويذا
ruesta	رويستا
ruguilla	روغيليا
ruidera	رويذيرا
rupia	روبيا
rus	روس
rute	روتي
sabadell	سافاذيلي
sabero	سافيرو
sabiñánigo	سافينانيغو
sabiote	سافيوتي
sacañet	ساكانيت
sacedon	ساثيذون
sacedoncillo	ساثيذونثيليو
saceruela	ساثيرويلا
sacramenia	ساكرامينيا
sada	ساذا
sadaba	ساذافا
saelices	سايليثيس
sagaro	ساغارو
sagides	ساخيذيس
sagra	ساغرا
sagunto	ساغونتو
sahagun	ساأغون
salada	سالاذا
salamanca	سالامانكا
salamon	سالامون
salar	سالار
salardu	سالارذو
salas	سالاس
salce	سالثي
salcedo	سالثيذو
saldaña	سالدانا
saldon	سالدون
salduero	سالدويرو
salinas	ساليناس
salinas	ساليناس
sallent	سالينت
salmeron	سالميرون
salmoral	سالمورال
salobral	سالوفرال
salobre	سالوفري
salobrena	سالوفرينا
salomo	سالومو
salorino	سالورينو
salou	سالوو
salsadella	سالساذيليا
salt	سالت
salvacañete	سالفاكانيتي
salvatierra	سالفاتيرا
samboal	سامبوال
samos	ساموس
sampedor	سامبيذور
samper	سامبير
sanabria	سانافريا
sanahuja	ساناأخا
sancedo	سانثيذو
sanchidrian	سانتشيذريان
sanchonuño	سانتشونونو
sandianes	سانديانيس
sando	ساندو
sangenjo	سانخينخو
sangüesa	سانغويسا
sansol	سانسول
santacara	سانتاكارا
santaella	سانتايليا
santany	سانتاني
santibañez	سانتيفانيث
santillana	سانتيليانا
santiso	سانتيسو
santiuste	سانتيوستي
santiz	سانتيث
santolea	سانتوليا
santomera	سانتوميرا
santoña	سانتونا
santovenia	سانتوفينيا
santucri	سانتوكري
santurce	سانتورثي
santurde	سانتورذي
sanzoles	سانثوليس
sapeira	سابييرا
saragossa	ساراغوسا
sariego	ساريغو
sariñena	سارينينا
sarratella	ساراتيليا
sarreal	ساريال
sarreaus	سارياوس
sarria	ساريا
sarrion	ساريون
sarroca	ساروكا
sarvise	سارفيسي
sasamon	ساسامون
sasdonigas	ساسذونيغاس
sastago	ساستاغو
sauca	ساوكا
saucedilla	ساوثيذيليا
saucelle	ساوثيلي
saviñan	سافينان
saviñao	سافيناو
sax	ساكس
sayaton	ساياتون
sebulcor	سفولكور
secorun	سكورون
sedano	سذانو
sedella	سذيليا
segorbe	سغورفي
segurilla	سغوريليا
selaya	سلايا
selgua	سلغوا
sella	سليا
sellano	سليانو
selva	سلفا
semillas	سميلياس
sena	سنا
senes	سنيس
senmanat	سنمانات
senra	سنرا
senterada	سنتيراذا
sepulveda	سبولفيذا
sequeros	سكيروس
serantes	سرانتيس
seriña	سرينا
seron	سرون
seros	سروس
serra	سرا
serrada	سراذا
serradero	سراذيرو
serradilla	سراذيليا
serranillos	سرانيليوس
serrateix	سراتييكس
serrejon	سريخون
sesa	سسا
seseña	سسينا
sesma	سسما
sestao	سستاو
sestrica	سستريكا
setcases	ستكاسيس
setenil	ستينيل
setiles	ستيليس
seva	سفا
sevilla	سفيليا
seville	سفيلي
sierro	سيرو
sietamo	سيتامو
sigüenza	سيغوينثا
sigüés	سيغويس
siles	سيليس
silla	سيليا
silleda	سيليذا
sils	سيلس
simancas	سيمانكاس
sineu	سينيو
sinlabajos	سينلافاخوس
sipan	سيبان
siruela	سيرويلا
sisamon	سيسامون
sisante	سيسانتي
sober	سوفير
sobradillo	سوفراذيليو
sobrado	سوفراذو
sobrelapeña	سوفريلابينا
sobrescobio	سوفريسكوفيو
socobos	سوكوفوس
socuellamos	سوكويلياموس
sodupe	سوذوبي
solares	سولاريس
solera	سوليرا
solivella	سوليفيليا
sollana	سوليانا
soller	سولير
solosancho	سولوسانتشو
solsona	سولسونا
somio	سوميو
somolinos	سومولينوس
somontano	سومونتانو
somontin	سومونتين
somosierra	سوموسيرا
somozas	سوموثاس
soncillo	سونثيليو
sondica	سونديكا
soneja	سونيخا
sopeira	سوبييرا
sorbas	سورفاس
soria	سوريا
sorihuela	سوريأيلا
sorlada	سورلاذا
sorpe	سوربي
sorribes	سوريفيس
sort	سورت
sorzano	سورثانو
soses	سوسيس
sotes	سوتيس
sotiello	سوتيليو
sotodosos	سوتوذوسوس
sotomayor	سوتومايور
sotopalacios	سوتوبالاثيوس
sotos	سوتوس
sotoserrano	سوتوسيرانو
sotresgudo	سوتريسغوذو
sotuelamos	سوتويلاموس
suances	سوانثيس
subijana	سوفيخانا
subirana	سوفيرانا
sucina	سوثينا
sudanell	سوذانيلي
sueca	سويكا
sumbilla	سومبيليا
suria	سوريا
tabara	تافارا
taberno	تافيرنو
taboada	تافواذا
taboadela	تافواذيلا
tabuenca	تافوينكا
tafalla	تافاليا
tahal	تاأل
tahus	تاأس
tal	تال
talamantes	تالامانتيس
talarrubias	تالاروفياس
talavan	تالافان
talayon	تالايون
talayuela	تالايويلا
talayuelas	تالايويلاس
talayuelo	تالايويلو
taliga	تاليغا
talladell	تالياذيلي
tallante	تاليانتي
tamajon	تاماخون
tamame	تامامي
tamames	تاماميس
tamariu	تاماريو
tambre	تامبري
tamurejo	تاموريخو
tapioles	تابيوليس
taracena	تاراثينا
taradell	تاراذيلي
taramundi	تاراموندي
tarancon	تارانكون
taravilla	تارافيليا
tarazona	تاراثونا
tarbena	تارفينا
tardajos	تارذاخوس
tardelcuende	تارذيلكويندي
tardienta	تارذينتا
tarifa	تاريفا
tarija	تاريخا
tarna	تارنا
tarragona	تاراغونا
tarrasa	تاراسا
tarrega	تاريغا
tarrio	تاريو
tarroja	تاروخا
tarros	تاروس
tauste	تاوستي
tavaruela	تافارويلا
tazones	تاثونيس
teba	تفا
tebar	تفار
tejadillos	تخاذيليوس
tejares	تخاريس
tejeiro	تخييرو
tejera	تخيرا
tembleque	تمبليكي
tempul	تمبول
tendilla	تنديليا
tenebron	تنيفرون
teo	تو
termens	ترمينس
termino	ترمينو
terminon	ترمينون
terradas	تراذاس
terriente	ترينتي
terrinches	ترينتشيس
terroba	تروفا
teruel	ترويل
teulada	تولاذا
teverga	تفيرغا
tiana	تيانا
tibi	تيفي
tibidabo	تيفيذافو
tiebas	تيفاس
tiedra	تيذرا
tielve	تيلفي
tierga	تيرغا
tiermas	تيرماس
tierzo	تيرثو
tiesa	تيسا
tijola	تيخولا
tinajas	تيناخاس
tineo	تينيو
tiñosillos	تينوسيليوس
tirgo	تيرغو
tirig	تيريغ
tirteafuera	تيرتيافويرا
titaguas	تيتاغواس
tiurana	تيورانا
tivenys	تيفينيس
tivisa	تيفيسا
tobarra	توفارا
tobia	توفيا
tocina	توثينا
todellego	توذيليغو
todolella	توذوليليا
toledo	توليذو
tolocirio	تولوثيريو
tolosa	تولوسا
tolox	تولوكس
tolva	تولفا
tomelloso	توميليوسو
tomiño	تومينو
tona	تونا
topares	توباريس
toques	توكيس
tor	تور
tora	تورا
toras	توراس
tordehumos	تورذيأموس
tordera	تورذيرا
tordomar	تورذومار
tordoya	تورذويا
torello	توريليو
toreno	تورينو
torija	توريخا
toril	توريل
torla	تورلا
tormon	تورمون
tornavacas	تورنافاكاس
toro	تورو
torquemada	توركيماذا
torralba	تورالفا
torreadrada	تورياذراذا
torrebeleña	توريفيلينا
torrebeses	توريفيسيس
torrecaballeros	توريكافاليروس
torrecampo	توريكامبو
torrecilla	توريثيليا
torredembarra	توريذيمبارا
torredonjimeno	توريذونخيمينو
torrefarrera	توريفاريرا
torregrosa	توريغروسا
torreiglesias	تورييغليسياس
torrejoncillo	توريخونثيليو
torrelaguna	توريلاغونا
torrelapaja	توريلاباخا
torrelavega	توريلافيغا
torrellano	توريليانو
torrellas	توريلياس
torrelobaton	توريلوفاتون
torrelodones	توريلوذونيس
torremanzanas	توريمانثاناس
torremayor	توريمايور
torremegia	توريميخيا
torremocha	توريموتشا
torremolinos	توريمولينوس
torremontalbo	توريمونتالفو
torrente	تورينتي
torrenueva	تورينويفا
torreorgaz	توريورغاث
torreperogil	توريبيروخيل
torrequebradilla	توريكيفراذيليا
torrequemada	توريكيماذا
torres	توريس
torresandino	توريساندينو
torresmenudas	توريسمينوذاس
torrevelilla	توريفيليليا
torrevieja	توريفيخا
torrijas	توريخاس
torrijo	توريخو
torrijos	توريخوس
torronteras	تورونتيراس
torrox	توروكس
tortajada	تورتاخاذا
tortella	تورتيليا
tortola	تورتولا
tortonda	تورتوندا
tortuera	تورتويرا
tortuero	تورتويرو
torviscon	تورفيسكون
torviscoso	تورفيسكوسو
tosas	توساس
totana	توتانا
totanes	توتانيس
touro	توورو
tous	تووس
trabada	ترافاذا
trabadelo	ترافاذيلو
trabanca	ترافانكا
trabazos	ترافاثوس
tragacete	تراغاثيتي
traiguera	ترايغيرا
tramacastilla	تراماكاستيليا
trasierra	تراسيرا
traslavina	تراسلافينا
trasmiras	تراسميراس
trasobares	تراسوفاريس
traspinedo	تراسبينيذو
trazo	تراثو
trebujena	تريفوخينا
tredos	تريذوس
tremp	تريمب
tresjuncos	تريسخونكوس
treto	تريتو
trevelez	تريفيليث
treviana	تريفيانا
trevias	تريفياس
treviño	تريفينو
triacastela	ترياكاستيلا
trigueros	تريغيروس
trillo	تريليو
triollo	تريوليو
triste	تريستي
troncedo	ترونثيذو
tronchon	ترونتشون
trubia	تروفيا
truchas	تروتشاس
truchillas	تروتشيلياس
trujillanos	تروخيليانوس
trujillo	تروخيليو
trujillos	تروخيليوس
tudanca	توذانكا
tudela	توذيلا
tuejar	تويخار
tulebras	توليفراس
turcia	تورثيا
turegano	توريغانو
turis	توريس
turleque	تورليكي
turon	تورون
turre	توري
turrillas	توريلياس
turruncun	تورونكون
tuy	توي
ubeda	أفيذا
ubidea	أفيذيا
ubrique	أفريكي
uceda	أثيذا
ucero	أثيرو
udias	أذياس
ugijar	أخيخار
ujo	أخو
ujue	أخوي
ulea	أليا
ulldecona	أليديكونا
ulldemolins	أليديمولينس
umbrete	أمبريتي
uña	أنا
uncastillo	أنكاستيليو
unquera	أنكيرا
unzue	أنثوي
urbies	أرفيس
urda	أرذا
urracal	أراكال
urries	أريس
urroz	أروث
urueña	أروينا
urueñas	أرويناس
usagre	أساغري
used	أسيذ
useras	أسيراس
utebo	أتيفو
utiel	أتيل
utrera	أتريرا
utrillas	أتريلياس
uztarroz	أثتاروث
vadocondes	باذوكونديس
vadollano	باذوليانو
valacloche	بالاكلوتشي
valcavadillo	بالكافاذيليو
valdaracete	بالداراثيتي
valdarachas	بالداراتشاس
valdeajos	بالدياخوس
valdeavero	بالديافيرو
valdeaveruelo	بالديافيرويلو
valdecaballeros	بالديكافاليروس
valdecabras	بالديكافراس
valdecarros	بالديكاروس
valdecebollas	بالديثيفولياس
valdecebro	بالديثيفرو
valdeconcha	بالديكونتشا
valdeconejos	بالديكونيخوس
valdecuenca	بالديكوينكا
valdedios	بالديذيوس
valdefresno	بالديفريسنو
valdefuentes	بالديفوينتيس
valdegamas	بالديغاماس
valdeganga	بالديغانغا
valdegovia	بالديغوفيا
valdehijaderos	بالديإِخاذيروس
valdelagua	بالديلاغوا
valdelaguna	بالديلاغونا
valdelcubo	بالديلكوفو
valdelinares	بالديليناريس
valdelosa	بالديلوسا
valdelugueros	بالديلوغيروس
valdemaluque	بالديمالوكي
valdemorillo	بالديموريليو
valdemoro	بالديمورو
valdenoceda	بالدينوثيذا
valdenoches	بالدينوتشيس
valdeobispo	بالديوفيسبو
valdeolivas	بالديوليفاس
valdeorras	بالديوراس
valdepeñas	بالديبيناس
valdepielago	بالديبيلاغو
valdepolo	بالديبولو
valdeprados	بالديبراذوس
valderas	بالديراس
valderrey	بالديريي
valderrobres	بالديروفريس
valdesamario	بالديساماريو
valdesaz	بالديساث
valdespina	بالديسبينا
valdespino	بالديسبينو
valdestillas	بالديستيلياس
valdeteja	بالديتيخا
valdetorres	بالديتوريس
valdevimbre	بالديفيمبري
valdezarza	بالديثارثا
valdihuelo	بالديأيلو
valdilecha	بالديليتشا
valdoviño	بالدوفينو
valdunquillo	بالدونكيليو
valencia	بالينثيا
valenzuela	بالينثويلا
valeria	باليريا
valga	بالغا
valjunquera	بالخونكيرا
vallada	بالياذا
valladolises	بالياذوليسيس
vallanca	باليانكا
vallbona	باليفونا
valldemosa	باليديموسا
valle	بالي
vallecas	باليكاس
vallelado	باليلاذو
vallfogona	باليفوغونا
vallibona	باليفونا
vallirana	باليرانا
vallmoll	باليمولي
vallromanas	باليروماناس
valls	باليس
valmala	بالمالا
valmaseda	بالماسيذا
valmojado	بالموخاذو
valnera	بالنيرا
valor	بالور
valronquillo	بالرونكيليو
valseca	بالسيكا
valsequillo	بالسيكيليو
valtajeros	بالتاخيروس
vandellos	بانديليوس
vañes	بانيس
vascongadas	باسكونغاذاس
vecinos	بثينوس
vedra	بذرا
vegadeo	بغاذيو
vegamian	بغاميان
veganzones	بغانثونيس
vegapagar	بغاباغار
vegaquemada	بغاكيماذا
vegarienza	بغارينثا
velada	بلاذا
velascalvaro	بلاسكالفارو
velefique	بليفيكي
velilla	بليليا
vellisca	بليسكا
vendrell	بندريلي
venialbo	بنيالفو
ventas	بنتاس
ventillas	بنتيلياس
venturada	بنتوراذا
vera	برا
verdu	برذو
verea	بريا
veredas	بريذاس
vergara	برغارا
vergel	برخيل
verges	برخيس
verin	برين
vezdemarban	بثذيمارفان
viacamp	بياكامب
viana	بيانا
vianos	بيانوس
viascon	بياسكون
viator	بياتور
vicalvaro	بيكالفارو
vicar	بيكار
vicien	بيثين
vicolozano	بيكولوثانو
vidangoz	بيذانغوث
vidiago	بيذياغو
vidreras	بيذريراس
viella	بيليا
viguera	بيغيرا
vilabella	بيلافيليا
vilaboa	بيلافوا
vilada	بيلاذا
vilademat	بيلاذيمات
vilademuls	بيلاذيمولس
viladrau	بيلاذراو
vilagrasa	بيلاغراسا
vilaller	بيلالير
vilanova	بيلانوفا
vilaplana	بيلابلانا
vilapouca	بيلابووكا
vilarrodona	بيلاروذونا
vilaseca	بيلاسيكا
vilatan	بيلاتان
vilches	بيلتشيس
villabona	بيليافونا
villacañas	بيلياكاناس
villacarriedo	بيلياكاريذو
villacarrillo	بيلياكاريليو
villacastin	بيلياكاستين
villaconejos	بيلياكونيخوس
villada	بيلياذا
villadecanes	بيلياذيكانيس
villadepera	بيلياذيبيرا
villadiego	بيلياذيغو
villaescusa	بيليايسكوسا
villafames	بيليافاميس
villaflores	بيليافلوريس
villafranca	بيليافرانكا
villafranqueza	بيليافرانكيثا
villafrechos	بيليافريتشوس
villafruela	بيليافرويلا
villagaton	بيلياغاتون
villager	بيلياخير
villagonzalo	بيلياغونثالو
villahermosa	بيلياإِرموسا
villahoz	بيلياأث
villajoyosa	بيلياخويوسا
villalba	بيليالفا
villalengua	بيليالينغوا
villalmanzo	بيليالمانثو
villalonga	بيليالونغا
villalpando	بيليالباندو
villalube	بيليالوفي
villaluenga	بيليالوينغا
villalumbroso	بيليالومبروسو
villalvaro	بيليالفارو
villamalea	بيلياماليا
villamalur	بيليامالور
villamañan	بيليامانان
villamandos	بيلياماندوس
villamanrique	بيليامانريكي
villamanta	بيليامانتا
villamantilla	بيليامانتيليا
villamarin	بيليامارين
villamartin	بيليامارتين
villamayor	بيليامايور
villamea	بيلياميا
villamediana	بيلياميذيانا
villamejil	بيلياميخيل
villamesias	بيلياميسياس
villamizar	بيلياميثار
villamol	بيليامول
villamuelas	بيليامويلاس
villanúa	بيليانوا
villanubla	بيليانوفلا
villanueva	بيليانويفا
villaobispo	بيلياوفيسبو
villapalacios	بيليابالاثيوس
villaquejida	بيلياكيخيذا
villaquilambre	بيلياكيلامبري
villaralbo	بيليارالفو
villaralto	بيليارالتو
villarejo	بيلياريخو
villarente	بيليارينتي
villaricos	بيلياريكوس
villarino	بيليارينو
villarrabe	بيليارافي
villarramiel	بيلياراميل
villarrasa	بيلياراسا
villarreal	بيلياريال
villarrobledo	بيلياروفليذو
villarrodrigo	بيلياروذريغو
villarroya	بيليارويا
villarrubia	بيلياروفيا
villarrubio	بيلياروفيو
villasabariego	بيلياسافاريغو
villasandino	بيلياساندينو
villasante	بيلياسانتي
villasarracino	بيلياساراثينو
villasayas	بيلياساياس
villaseca	بيلياسيكا
villaselan	بيلياسيلان
villasilos	بيلياسيلوس
villasrubias	بيلياسروفياس
villastar	بيلياستار
villatobas	بيلياتوفاس
villatoro	بيلياتورو
villatoya	بيلياتويا
villaturiel	بيلياتوريل
villava	بيليافا
villavaquerin	بيليافاكيرين
villavendimio	بيليافينديميو
villaviciosa	بيليافيثيوسا
villaviudas	بيليافيوذاس
villayon	بيليايون
villaza	بيلياثا
villegas	بيليغاس
villel	بيليل
villena	بيلينا
villerias	بيليرياس
villodrigo	بيليوذريغو
villoldo	بيليولدو
villora	بيليورا
villores	بيليوريس
villoria	بيليوريا
vilvestre	بيلفيستري
vimianzo	بيميانثو
vinaceite	بيناثييتي
vinaroz	بيناروث
vindel	بينديل
vinebre	بينيفري
viñuela	بينويلا
viñuelas	بينويلاس
vinuesa	بينويسا
viruela	بيرويلا
visaurin	بيساورين
visiedo	بيسيذو
vitigudino	بيتيغوذينو
viver	بيفير
vivero	بيفيرو
viveros	بيفيروس
vizcaínos	بيثكاينوس
vizmanos	بيثمانوس
yanguas	يانغواس
yatova	ياتوفا
yebes	يفيس
yebra	يفرا
yecla	يكلا
yegen	يخين
yela	يلا
yepes	يبيس
yerga	يرغا
yesa	يسا
yeste	يستي
yuncler	يونكلير
yuncos	يونكوس
yunquera	يونكيرا
zafarraya	ثافارايا
zagra	ثاغرا
zahara	ثاأرا
zahinos	ثاإِنوس
zaidin	ثايذين
zalla	ثاليا
zamarramala	ثامارامالا
zamayon	ثامايون
zambra	ثامبرا
zambrana	ثامبرانا
zamora	ثامورا
zaorejas	ثاوريخاس
zaragoza	ثاراغوثا
zaratan	ثاراتان
zarauz	ثاراوث
zarra	ثارا
zarzalejo	ثارثاليخو
zas	ثاس
zizur	ثيثور
zorita	ثوريتا
zubia	ثوفيا
zubieta	ثوفيتا
zubiri	ثوفيري
zucaina	ثوكاينا
zudaire	ثوذايري
zuera	ثويرا
zuheros	ثوإِروس
zujar	ثوخار
zumarraga	ثوماراغا
zumaya	ثومايا
zuniga	ثونيغا
zurgena	ثورخينا
zurzarren	ثورثارين
