ababuj	آواووخ
pesaguero	پيساغيرو
pescueza	پيسکويثا
pesquera	پيسکيرا
pesues	پيسويس
petin	پيتين
pias	پياس
picacho	پيکاچو
picasent	پيکاسينت
picon	پيکون
picorro	پيکورو
piedrabuena	پيذراووينا
piedrafita	پيذرافيتا
piedrahita	پيذراايتا
piera	پيرا
pilas	پيلاس
piloña	پيلونا
pina	پينا
pinar	پينار
pinarejo	پيناريخو
pinarejos	پيناريخوس
pineda	پينيذا
pinet	پينيت
pinillos	پينيليوس
pinofranqueado	پينوفرانکياذو
piñor	پينور
pinos	پينوس
pinoso	پينوسو
pintano	پينتانو
pipaon	پيپاون
piqueras	پيکيراس
pira	پيرا
pitillas	پيتيلياس
pizarra	پيثارا
pizarral	پيثارال
plan	پلان
planes	پلانيس
plasencia	پلاسينثيا
plasenzuela	پلاسينثويلا
plencia	پلينثيا
pliego	پليغو
plou	پلوو
pobes	پوويس
poblete	پووليته
poboleda	پووليذا
pol	پول
polanco	پولانکو
polenino	پولينينو
polentinos	پولينتينوس
polientes	پولينتيس
pollensa	پولينسا
pollos	پوليوس
polopos	پولوپوس
pomar	پومار
pomer	پومير
ponferrada	پونفيراذا
ponga	پونگا
pons	پونس
pontevedra	پونتيويذرا
pontones	پونتونيس
pontons	پونتونس
ponzano	پونثانو
porcuna	پورکونا
porquera	پورکيرا
porrera	پوريرا
porreras	پوريراس
porriño	پورينو
porron	پورون
portaje	پورتاخه
porto	پورتو
porzuna	پورثونا
posada	پوساذا
posadas	پوساذاس
posadilla	پوساذيليا
potes	پوتيس
povedilla	پوويذيليا
poyales	پوياليس
poyatos	پوياتوس
poyo	پويو
poyos	پويوس
pozaldez	پوثالديث
pozoantiguo	پوثوانتيغوو
pozohondo	پوثواوندو
pozondon	پوثوندون
pozorrubio	پوثوروويو
pozoseco	پوثوسيکو
pozuelo	پوثويلو
pradairo	پراذايرو
pradales	پراذاليس
pradejon	پراذيخون
pradena	پراذينا
prades	پراذيس
pradillo	پراذيليو
prado	پراذو
pradoluengo	پراذولوينگو
pratdip	پراتذيپ
pravia	پراويا
preixens	پرييکسينس
prejano	پريخانو
priego	پريغو
prioro	پريورو
proaza	پرواثا
progalo	پروغالو
pruna	پرونا
puenteareas	پوينتيارياس
puentedeume	پوينتيذيومه
puentenansa	پوينتينانسا
puenteviesgo	پوينتيويسغو
pueyo	پوييو
pujerra	پوخيرا
pulgar	پولغار
pulpi	پولپي
pungin	پونخين
purchena	پورچينا
purujosa	پوروخوسا
purullena	پورولينا
puzol	پوثول
quart	کوارت
quel	کيل
quemada	کيماذا
quero	کيرو
quesa	کيسا
quesada	کيساذا
quintanapalla	کينتاناپاليا
quintanavides	کينتاناويذيس
quintanilla	کينتانيليا
quintela	کينتيلا
quinto	کينتو
quiroga	کيروغا
quiros	کيروس
quisicedo	کيسيثيذو
quismondo	کيسموندو
rabade	راواذه
rabanales	راواناليس
rabasa	راواسا
rabo	راوو
radona	راذونا
rafales	رافاليس
ragama	راغاما
ragol	راغول
rajadell	راخاذيلي
ramacastañas	راماکاستاناس
ramallosa	راماليوسا
rascafria	راسکافريا
rasines	راسينيس
raso	راسو
rasquera	راسکيرا
rasueros	راسويروس
reales	رياليس
rebalsadores	ريوالساذوريس
rebollera	ريووليرا
rebollo	ريووليو
recas	ريکاس
redona	ريذونا
redondela	ريذونديلا
regenjo	ريخينخو
reillo	رييليو
reina	ريينا
reinosa	ريينوسا
relleu	ريليو
rellinas	ريليناس
rena	رينا
renales	ريناليس
renedo	رينيذو
renera	رينيرا
rengos	رينگوس
renteria	رينتيريا
reocin	ريوثين
requejo	ريکيخو
requena	ريکينا
resoba	ريسووا
respaldiza	ريسپالديثا
restiello	ريستيليو
retamal	ريتامال
retamosa	ريتاموسا
retiendas	ريتينداس
reus	ريوس
revillarruz	ريويلياروث
revolcadores	ريوولکاذوريس
riahuelas	ريااويلاس
rialp	ريالپ
rianjo	ريانخو
riaño	ريانو
riaza	رياثا
ribadavia	ريواذاويا
ribadeo	ريواذيو
ribadesella	ريواذيسيليا
ribadumia	ريواذوميا
ribaforada	ريوافوراذا
ribafrecha	ريوافريچا
ribarredonda	ريواريذوندا
ribatajada	ريواتاخاذا
ribesalbes	ريويسالويس
ribota	ريووتا
ricla	ريکلا
ricobayo	ريکووايو
ricote	ريکوته
riello	ريليو
rielves	ريلويس
riglos	ريغلوس
rigoitia	ريغويتيا
rilla	ريليا
riner	رينير
rio	ريو
riobarba	ريوواروا
riocabado	ريوکاواذو
riocaldo	ريوکالدو
riodeva	ريوذيوا
riofrio	ريوفريو
riogordo	ريوغورذو
rioja	ريوخا
riolobos	ريولووس
riopar	ريوپار
rios	ريوس
riosa	ريوسا
riotorto	ريوتورتو
ripoll	ريپولي
ripollet	ريپوليت
risco	ريسکو
riudarenas	ريوذاريناس
riudaura	ريوذاورا
riudecanas	ريوذيکاناس
riudecols	ريوذيکولس
riudoms	ريوذومس
riveira	ريوييرا
rivero	ريويرو
roa	روا
roales	رواليس
robleda	رووليذا
robledo	رووليذو
robledollano	رووليذوليانو
robres	رووريس
rocallaura	روکالياورا
rociana	روثيانا
rodana	روذانا
rodeiro	روذييرو
rodellar	روذيليار
rodenas	روذيناس
rodiezmo	روذيثمو
rodoña	روذونا
rodos	روذوس
rois	رويس
rojales	روخاليس
rollan	روليان
romanones	رومانونيس
roncal	رونکال
roncesvalles	رونثيسواليس
ronda	روندا
roquetas	روکيتاس
rosal	روسال
rosas	روساس
rosell	روسيلي
rota	روتا
rotova	روتووا
royuela	رويويلا
ruanes	روانيس
rubena	رووينا
rubi	رووي
rubiales	رووياليس
rubian	روويان
rubiana	روويانا
rubio	روويو
rubite	روويته
rudilla	روذيليا
rueda	رويذا
ruesta	رويستا
ruguilla	روغيليا
ruidera	رويذيرا
rupia	روپيا
rus	روس
rute	روته
sabadell	ساواذيلي
sabero	ساويرو
sabiñánigo	ساوينانيغو
sabiote	ساويوته
sacañet	ساکانيت
sacedon	ساثيذون
sacedoncillo	ساثيذونثيليو
saceruela	ساثيرويلا
sacramenia	ساکرامينيا
sada	ساذا
sadaba	ساذاوا
saelices	سايليثيس
sagaro	ساغارو
sagides	ساخيذيس
sagra	ساغرا
sagunto	ساغونتو
sahagun	ساآغون
salada	سالاذا
salamanca	سالامانکا
salamon	سالامون
salar	سالار
salardu	سالارذو
salas	سالاس
salce	سالثه
salcedo	سالثيذو
saldaña	سالدانا
saldon	سالدون
salduero	سالدويرو
salinas	ساليناس
salinas	ساليناس
sallent	سالينت
salmeron	سالميرون
salmoral	سالمورال
salobral	سالوورال
salobre	سالووره
salobrena	سالوورينا
salomo	سالومو
salorino	سالورينو
salou	سالوو
salsadella	سالساذيليا
salt	سالت
salvacañete	سالواکانيته
salvatierra	سالواتيرا
samboal	سامبوال
samos	ساموس
sampedor	سامپيذور
samper	سامپير
sanabria	ساناوريا
sanahuja	سانااوخا
sancedo	سانثيذو
sanchidrian	سانچيذريان
sanchonuño	سانچونونو
sandianes	سانديانيس
sando	ساندو
sangenjo	سانخينخو
sangüesa	سانگويسا
sansol	سانسول
santacara	سانتاکارا
santaella	سانتايليا
santany	سانتاني
santibañez	سانتيوانيث
santillana	سانتيليانا
santiso	سانتيسو
santiuste	سانتيوسته
santiz	سانتيث
santolea	سانتوليا
santomera	سانتوميرا
santoña	سانتونا
santovenia	سانتووينيا
santucri	سانتوکري
santurce	سانتورثه
santurde	سانتورذه
sanzoles	سانثوليس
sapeira	ساپييرا
saragossa	ساراغوسا
sariego	ساريغو
sariñena	سارينينا
sarratella	ساراتيليا
sarreal	ساريال
sarreaus	سارياوس
sarria	ساريا
sarrion	ساريون
sarroca	ساروکا
sarvise	سارويسه
sasamon	ساسامون
sasdonigas	ساسذونيغاس
sastago	ساستاغو
sauca	ساوکا
saucedilla	ساوثيذيليا
saucelle	ساوثيله
saviñan	ساوينان
saviñao	ساويناو
sax	ساکس
sayaton	ساياتون
sebulcor	سيوولکور
secorun	سيکورون
sedano	سيذانو
sedella	سيذيليا
segorbe	سيغوروه
segurilla	سيغوريليا
selaya	سيلايا
selgua	سيلغوا
sella	سيليا
sellano	سيليانو
selva	سيلوا
semillas	سيميلياس
sena	سينا
senes	سينيس
senmanat	سينمانات
senra	سينرا
senterada	سينتيراذا
sepulveda	سيپولويذا
sequeros	سيکيروس
serantes	سيرانتيس
seriña	سيرينا
seron	سيرون
seros	سيروس
serra	سيرا
serrada	سيراذا
serradero	سيراذيرو
serradilla	سيراذيليا
serranillos	سيرانيليوس
serrateix	سيراتييکس
serrejon	سيريخون
sesa	سيسا
seseña	سيسينا
sesma	سيسما
sestao	سيستاو
sestrica	سيستريکا
setcases	سيتکاسيس
setenil	سيتينيل
setiles	سيتيليس
seva	سيوا
sevilla	سيويليا
seville	سيويله
sierro	سيرو
sietamo	سيتامو
sigüenza	سيغوينثا
sigüés	سيغويس
siles	سيليس
silla	سيليا
silleda	سيليذا
sils	سيلس
simancas	سيمانکاس
sineu	سينيو
sinlabajos	سينلاواخوس
sipan	سيپان
siruela	سيرويلا
sisamon	سيسامون
sisante	سيسانته
sober	سووير
sobradillo	سووراذيليو
sobrado	سووراذو
sobrelapeña	سووريلاپينا
sobrescobio	سووريسکوويو
socobos	سوکووس
socuellamos	سوکويلياموس
sodupe	سوذوپه
solares	سولاريس
solera	سوليرا
solivella	سوليويليا
sollana	سوليانا
soller	سولير
solosancho	سولوسانچو
solsona	سولسونا
somio	سوميو
somolinos	سومولينوس
somontano	سومونتانو
somontin	سومونتين
somosierra	سوموسيرا
somozas	سوموثاس
soncillo	سونثيليو
sondica	سونديکا
soneja	سونيخا
sopeira	سوپييرا
sorbas	سورواس
soria	سوريا
sorihuela	سورياويلا
sorlada	سورلاذا
sorpe	سورپه
sorribes	سوريويس
sort	سورت
sorzano	سورثانو
soses	سوسيس
sotes	سوتيس
sotiello	سوتيليو
sotodosos	سوتوذوسوس
sotomayor	سوتومايور
sotopalacios	سوتوپالاثيوس
sotos	سوتوس
sotoserrano	سوتوسيرانو
sotresgudo	سوتريسغوذو
sotuelamos	سوتويلاموس
suances	سوانثيس
subijana	سوويخانا
subirana	سوويرانا
sucina	سوثينا
sudanell	سوذانيلي
sueca	سويکا
sumbilla	سومبيليا
suria	سوريا
tabara	تاوارا
taberno	تاويرنو
taboada	تاوواذا
taboadela	تاوواذيلا
tabuenca	تاووينکا
tafalla	تافاليا
tahal	تاآل
tahus	تااوس
tal	تال
talamantes	تالامانتيس
talarrubias	تالارووياس
talavan	تالاوان
talayon	تالايون
talayuela	تالايويلا
talayuelas	تالايويلاس
talayuelo	تالايويلو
taliga	تاليغا
talladell	تالياذيلي
tallante	تاليانته
tamajon	تاماخون
tamame	تامامه
tamames	تاماميس
tamariu	تاماريو
tambre	تامبره
tamurejo	تاموريخو
tapioles	تاپيوليس
taracena	تاراثينا
taradell	تاراذيلي
taramundi	تاراموندي
tarancon	تارانکون
taravilla	تاراويليا
tarazona	تاراثونا
tarbena	تاروينا
tardajos	تارذاخوس
tardelcuende	تارذيلکوينده
tardienta	تارذينتا
tarifa	تاريفا
tarija	تاريخا
tarna	تارنا
tarragona	تاراغونا
tarrasa	تاراسا
tarrega	تاريغا
tarrio	تاريو
tarroja	تاروخا
tarros	تاروس
tauste	تاوسته
tavaruela	تاوارويلا
tazones	تاثونيس
teba	تيوا
tebar	تيوار
tejadillos	تيخاذيليوس
tejares	تيخاريس
tejeiro	تيخييرو
tejera	تيخيرا
tembleque	تيمبليکه
tempul	تيمپول
tendilla	تينديليا
tenebron	تينيورون
teo	تيو
termens	تيرمينس
termino	تيرمينو
terminon	تيرمينون
terradas	تيراذاس
terriente	تيرينته
terrinches	تيرينچيس
terroba	تيرووا
teruel	تيرويل
teulada	تيولاذا
teverga	تيويرغا
tiana	تيانا
tibi	تيوي
tibidabo	تيويذاوو
tiebas	تيواس
tiedra	تيذرا
tielve	تيلوه
tierga	تيرغا
tiermas	تيرماس
tierzo	تيرثو
tiesa	تيسا
tijola	تيخولا
tinajas	تيناخاس
tineo	تينيو
tiñosillos	تينوسيليوس
tirgo	تيرغو
tirig	تيريغ
tirteafuera	تيرتيافويرا
titaguas	تيتاغواس
tiurana	تيورانا
tivenys	تيوينيس
tivisa	تيويسا
tobarra	تووارا
tobia	توويا
tocina	توثينا
todellego	توذيليغو
todolella	توذوليليا
toledo	توليذو
tolocirio	تولوثيريو
tolosa	تولوسا
tolox	تولوکس
tolva	تولوا
tomelloso	توميليوسو
tomiño	تومينو
tona	تونا
topares	توپاريس
toques	توکيس
tor	تور
tora	تورا
toras	توراس
tordehumos	تورذياوموس
tordera	تورذيرا
tordomar	تورذومار
tordoya	تورذويا
torello	توريليو
toreno	تورينو
torija	توريخا
toril	توريل
torla	تورلا
tormon	تورمون
tornavacas	تورناواکاس
toro	تورو
torquemada	تورکيماذا
torralba	تورالوا
torreadrada	تورياذراذا
torrebeleña	توريويلينا
torrebeses	توريويسيس
torrecaballeros	توريکاواليروس
torrecampo	توريکامپو
torrecilla	توريثيليا
torredembarra	توريذيمبارا
torredonjimeno	توريذونخيمينو
torrefarrera	توريفاريرا
torregrosa	توريغروسا
torreiglesias	تورييغليسياس
torrejoncillo	توريخونثيليو
torrelaguna	توريلاغونا
torrelapaja	توريلاپاخا
torrelavega	توريلاويغا
torrellano	توريليانو
torrellas	توريلياس
torrelobaton	توريلوواتون
torrelodones	توريلوذونيس
torremanzanas	توريمانثاناس
torremayor	توريمايور
torremegia	توريميخيا
torremocha	توريموچا
torremolinos	توريمولينوس
torremontalbo	توريمونتالوو
torrente	تورينته
torrenueva	تورينويوا
torreorgaz	توريورغاث
torreperogil	توريپيروخيل
torrequebradilla	توريکيوراذيليا
torrequemada	توريکيماذا
torres	توريس
torresandino	توريساندينو
torresmenudas	توريسمينوذاس
torrevelilla	توريويليليا
torrevieja	توريويخا
torrijas	توريخاس
torrijo	توريخو
torrijos	توريخوس
torronteras	تورونتيراس
torrox	توروکس
tortajada	تورتاخاذا
tortella	تورتيليا
tortola	تورتولا
tortonda	تورتوندا
tortuera	تورتويرا
tortuero	تورتويرو
torviscon	تورويسکون
torviscoso	تورويسکوسو
tosas	توساس
totana	توتانا
totanes	توتانيس
touro	توورو
tous	تووس
trabada	تراواذا
trabadelo	تراواذيلو
trabanca	تراوانکا
trabazos	تراواثوس
tragacete	تراغاثيته
traiguera	ترايغيرا
tramacastilla	تراماکاستيليا
trasierra	تراسيرا
traslavina	تراسلاوينا
trasmiras	تراسميراس
trasobares	تراسوواريس
traspinedo	تراسپينيذو
trazo	تراثو
trebujena	تريووخينا
tredos	تريذوس
tremp	تريمپ
tresjuncos	تريسخونکوس
treto	تريتو
trevelez	تريويليث
treviana	تريويانا
trevias	تريوياس
treviño	تريوينو
triacastela	ترياکاستيلا
trigueros	تريغيروس
trillo	تريليو
triollo	تريوليو
triste	تريسته
troncedo	ترونثيذو
tronchon	ترونچون
trubia	تروويا
truchas	تروچاس
truchillas	تروچيلياس
trujillanos	تروخيليانوس
trujillo	تروخيليو
trujillos	تروخيليوس
tudanca	توذانکا
tudela	توذيلا
tuejar	تويخار
tulebras	توليوراس
turcia	تورثيا
turegano	توريغانو
turis	توريس
turleque	تورليکه
turon	تورون
turre	توره
turrillas	توريلياس
turruncun	تورونکون
tuy	توي
ubeda	اوويذا
ubidea	اوويذيا
ubrique	اووريکه
uceda	اوثيذا
ucero	اوثيرو
udias	اوذياس
ugijar	اوخيخار
ujo	اوخو
ujue	اوخوه
ulea	اوليا
ulldecona	اوليديکونا
ulldemolins	اوليديمولينس
umbrete	اومبريته
uña	اونا
uncastillo	اونکاستيليو
unquera	اونکيرا
unzue	اونثوه
urbies	اورويس
urda	اورذا
urracal	اوراکال
urries	اوريس
urroz	اوروث
urueña	اوروينا
urueñas	اورويناس
usagre	اوساغره
used	اوسيذ
useras	اوسيراس
utebo	اوتيوو
utiel	اوتيل
utrera	اوتريرا
utrillas	اوتريلياس
uztarroz	اوثتاروث
vadocondes	باذوکونديس
vadollano	باذوليانو
valacloche	بالاکلوچه
valcavadillo	بالکاواذيليو
valdaracete	بالداراثيته
valdarachas	بالداراچاس
valdeajos	بالدياخوس
valdeavero	بالدياويرو
valdeaveruelo	بالدياويرويلو
valdecaballeros	بالديکاواليروس
valdecabras	بالديکاوراس
valdecarros	بالديکاروس
valdecebollas	بالديثيوولياس
valdecebro	بالديثيورو
valdeconcha	بالديکونچا
valdeconejos	بالديکونيخوس
valdecuenca	بالديکوينکا
valdedios	بالديذيوس
valdefresno	بالديفريسنو
valdefuentes	بالديفوينتيس
valdegamas	بالديغاماس
valdeganga	بالديغانگا
valdegovia	بالديغوويا
valdehijaderos	بالديايخاذيروس
valdelagua	بالديلاغوا
valdelaguna	بالديلاغونا
valdelcubo	بالديلکوو
valdelinares	بالديليناريس
valdelosa	بالديلوسا
valdelugueros	بالديلوغيروس
valdemaluque	بالديمالوکه
valdemorillo	بالديموريليو
valdemoro	بالديمورو
valdenoceda	بالدينوثيذا
valdenoches	بالدينوچيس
valdeobispo	بالديوويسپو
valdeolivas	بالديوليواس
valdeorras	بالديوراس
valdepeñas	بالديپيناس
valdepielago	بالديپيلاغو
valdepolo	بالديپولو
valdeprados	بالديپراذوس
valderas	بالديراس
valderrey	بالديريي
valderrobres	بالديرووريس
valdesamario	بالديساماريو
valdesaz	بالديساث
valdespina	بالديسپينا
valdespino	بالديسپينو
valdestillas	بالديستيلياس
valdeteja	بالديتيخا
valdetorres	بالديتوريس
valdevimbre	بالديويمبره
valdezarza	بالديثارثا
valdihuelo	بالدياويلو
valdilecha	بالديليچا
valdoviño	بالدووينو
valdunquillo	بالدونکيليو
valencia	بالينثيا
valenzuela	بالينثويلا
valeria	باليريا
valga	بالغا
valjunquera	بالخونکيرا
vallada	بالياذا
valladolises	بالياذوليسيس
vallanca	باليانکا
vallbona	باليوونا
valldemosa	باليديموسا
valle	باله
vallecas	باليکاس
vallelado	باليلاذو
vallfogona	باليفوغونا
vallibona	باليوونا
vallirana	باليرانا
vallmoll	باليمولي
vallromanas	باليروماناس
valls	باليس
valmala	بالمالا
valmaseda	بالماسيذا
valmojado	بالموخاذو
valnera	بالنيرا
valor	بالور
valronquillo	بالرونکيليو
valseca	بالسيکا
valsequillo	بالسيکيليو
valtajeros	بالتاخيروس
vandellos	بانديليوس
vañes	بانيس
vascongadas	باسکونگاذاس
vecinos	بيثينوس
vedra	بيذرا
vegadeo	بيغاذيو
vegamian	بيغاميان
veganzones	بيغانثونيس
vegapagar	بيغاپاغار
vegaquemada	بيغاکيماذا
vegarienza	بيغارينثا
velada	بيلاذا
velascalvaro	بيلاسکالوارو
velefique	بيليفيکه
velilla	بيليليا
vellisca	بيليسکا
vendrell	بيندريلي
venialbo	بينيالوو
ventas	بينتاس
ventillas	بينتيلياس
venturada	بينتوراذا
vera	بيرا
verdu	بيرذو
verea	بيريا
veredas	بيريذاس
vergara	بيرغارا
vergel	بيرخيل
verges	بيرخيس
verin	بيرين
vezdemarban	بيثذيماروان
viacamp	بياکامپ
viana	بيانا
vianos	بيانوس
viascon	بياسکون
viator	بياتور
vicalvaro	بيکالوارو
vicar	بيکار
vicien	بيثين
vicolozano	بيکولوثانو
vidangoz	بيذانگوث
vidiago	بيذياغو
vidreras	بيذريراس
viella	بيليا
viguera	بيغيرا
vilabella	بيلاويليا
vilaboa	بيلاووا
vilada	بيلاذا
vilademat	بيلاذيمات
vilademuls	بيلاذيمولس
viladrau	بيلاذراو
vilagrasa	بيلاغراسا
vilaller	بيلالير
vilanova	بيلانووا
vilaplana	بيلاپلانا
vilapouca	بيلاپووکا
vilarrodona	بيلاروذونا
vilaseca	بيلاسيکا
vilatan	بيلاتان
vilches	بيلچيس
villabona	بيلياوونا
villacañas	بيلياکاناس
villacarriedo	بيلياکاريذو
villacarrillo	بيلياکاريليو
villacastin	بيلياکاستين
villaconejos	بيلياکونيخوس
villada	بيلياذا
villadecanes	بيلياذيکانيس
villadepera	بيلياذيپيرا
villadiego	بيلياذيغو
villaescusa	بيليايسکوسا
villafames	بيليافاميس
villaflores	بيليافلوريس
villafranca	بيليافرانکا
villafranqueza	بيليافرانکيثا
villafrechos	بيليافريچوس
villafruela	بيليافرويلا
villagaton	بيلياغاتون
villager	بيلياخير
villagonzalo	بيلياغونثالو
villahermosa	بيلياايرموسا
villahoz	بيليااوث
villajoyosa	بيلياخويوسا
villalba	بيليالوا
villalengua	بيليالينگوا
villalmanzo	بيليالمانثو
villalonga	بيليالونگا
villalpando	بيليالپاندو
villalube	بيليالووه
villaluenga	بيليالوينگا
villalumbroso	بيليالومبروسو
villalvaro	بيليالوارو
villamalea	بيلياماليا
villamalur	بيليامالور
villamañan	بيليامانان
villamandos	بيلياماندوس
villamanrique	بيليامانريکه
villamanta	بيليامانتا
villamantilla	بيليامانتيليا
villamarin	بيليامارين
villamartin	بيليامارتين
villamayor	بيليامايور
villamea	بيلياميا
villamediana	بيلياميذيانا
villamejil	بيلياميخيل
villamesias	بيلياميسياس
villamizar	بيلياميثار
villamol	بيليامول
villamuelas	بيليامويلاس
villanúa	بيليانوا
villanubla	بيليانوولا
villanueva	بيليانويوا
villaobispo	بيلياوويسپو
villapalacios	بيلياپالاثيوس
villaquejida	بيلياکيخيذا
villaquilambre	بيلياکيلامبره
villaralbo	بيليارالوو
villaralto	بيليارالتو
villarejo	بيلياريخو
villarente	بيليارينته
villaricos	بيلياريکوس
villarino	بيليارينو
villarrabe	بيلياراوه
villarramiel	بيلياراميل
villarrasa	بيلياراسا
villarreal	بيلياريال
villarrobledo	بيليارووليذو
villarrodrigo	بيلياروذريغو
villarroya	بيليارويا
villarrubia	بيلياروويا
villarrubio	بيلياروويو
villasabariego	بيلياساواريغو
villasandino	بيلياساندينو
villasante	بيلياسانته
villasarracino	بيلياساراثينو
villasayas	بيلياساياس
villaseca	بيلياسيکا
villaselan	بيلياسيلان
villasilos	بيلياسيلوس
villasrubias	بيلياسرووياس
villastar	بيلياستار
villatobas	بيلياتوواس
villatoro	بيلياتورو
villatoya	بيلياتويا
villaturiel	بيلياتوريل
villava	بيلياوا
villavaquerin	بيلياواکيرين
villavendimio	بيلياوينديميو
villaviciosa	بيلياويثيوسا
villaviudas	بيلياويوذاس
villayon	بيليايون
villaza	بيلياثا
villegas	بيليغاس
villel	بيليل
villena	بيلينا
villerias	بيليرياس
villodrigo	بيليوذريغو
villoldo	بيليولدو
villora	بيليورا
villores	بيليوريس
villoria	بيليوريا
vilvestre	بيلويستره
vimianzo	بيميانثو
vinaceite	بيناثييته
vinaroz	بيناروث
vindel	بينديل
vinebre	بينيوره
viñuela	بينويلا
viñuelas	بينويلاس
vinuesa	بينويسا
viruela	بيرويلا
visaurin	بيساورين
visiedo	بيسيذو
vitigudino	بيتيغوذينو
viver	بيوير
vivero	بيويرو
viveros	بيويروس
vizcaínos	بيثکاينوس
vizmanos	بيثمانوس
yanguas	يانگواس
yatova	ياتووا
yebes	يويس
yebra	يورا
yecla	يکلا
yegen	يخين
yela	يلا
yepes	يپيس
yerga	يرغا
yesa	يسا
yeste	يسته
yuncler	يونکلير
yuncos	يونکوس
yunquera	يونکيرا
zafarraya	ثافارايا
zagra	ثاغرا
zahara	ثاآرا
zahinos	ثااينوس
zaidin	ثايذين
zalla	ثاليا
zamarramala	ثامارامالا
zamayon	ثامايون
zambra	ثامبرا
zambrana	ثامبرانا
zamora	ثامورا
zaorejas	ثاوريخاس
zaragoza	ثاراغوثا
zaratan	ثاراتان
zarauz	ثاراوث
zarra	ثارا
zarzalejo	ثارثاليخو
zas	ثاس
zizur	ثيثور
zorita	ثوريتا
zubia	ثوويا
zubieta	ثوويتا
zubiri	ثوويري
zucaina	ثوکاينا
zudaire	ثوذايره
zuera	ثويرا
zuheros	ثوايروس
zujar	ثوخار
zumarraga	ثوماراغا
zumaya	ثومايا
zuniga	ثونيغا
zurgena	ثورخينا
zurzarren	ثورثارين
