# Baby names
ਅਂਗਦ	انجد
ਰੂਂਗ / ਰਂਗ	رونج / رنج
ਰੂਪਦੀਪ	روبدیب
ਰੂਪਦੇਵ	روبدیو
ਰੂਪਵਂਤ	روبونت
ਰੇਗੇਨਦਰ	ریجیندر
ਰੋਸ਼ਨਦੀਪ	روسندیب
ਰੌਸ਼ਾਨਪ੍ਰੇਮ	راوسانبریم
ਰੌਸ਼ਾਨਬੀਰ	راوسانبیر
ਲਕ੍ਸ਼੍ਮੀ	لكسمی
ਲਖਪ੍ਰਿਤ	لكهبریت
ਲਖਮਿਤ	لكهمیت
ਲਖਰੂਪ	لكهروب
ਲਖਵੀਰ	لكهویر
ਲਵੇਨਿਤ	لوینیت
ਲਾਜਵਂਤ	لاجونت
ਲਾਵਪ੍ਰਿਤ	لاوبریت
ਲਾਵਿਨਦੀਪ	لاویندیب
ਲੀਵਗੀਆਨ	لیوجیآن
ਲੀਵਚਿਤ	لیوتشیت
ਲੀਵਚੇਤ	لیوتشیت
ਲੀਵਜੋਤ	لیوجوت
ਲੀਵਨਾਮ	لیونام
ਲੀਵਸ਼ਰਣ	لیوسرن
ਲੀਵਾਵਤਰ	لیواوتر
ਲੋਕਪਾਲ	لوكبال
ਲੋਕਪ੍ਰਿਤ	لوكبریت
ਲੋਕਰੂਪ	لوكروب
ਲੋਕ੍ਪ੍ਰੇਮ	لوكبریم
ਲੋਵਪ੍ਰੇਮ	لووبریم
ਲੋਵੇਦੀਪ	لوویدیب
ਵਰੀਨਦੇਰ੍ਪਾਲ	وریندیربال
ਵਰੁਨਜਿਤ	ورونجیت
ਵਰੁਨਦੀਪ	وروندیب
ਵਸਂਤਪ੍ਰਿਤ	وسنتبریت
ਵਸੁਂਧਰਾ	وسوندهرا
ਵਾਦਭਾਗ	وادبهاج
ਵਾਮਾਂਨਜੀਤ	واماننجیت
ਵਾਰੀਨਦੇਰ	واریندیر
ਵਾਸੀਮਬੀਰ	واسیمبیر
ਵਾਹੀਦਪ੍ਰਿਤ	واهیدبریت
ਵਾਹੇਗੁਰੁ	واهیجورو
ਵਿਕ੍ਰਮਜੀਤ	ویكرمجیت
ਵਿਕ੍ਰਮਜੋਤ	ویكرمجوت
ਵਿਚਾਰ੍ਚੇਤਨ	ویتشارتشیتن
ਵਿਚਾਰ੍ਦੀਪ	ویتشاردیب
ਵਿਚਾਰ੍ਲੀਨ	ویتشارلین
ਵਿਜਯਪ੍ਰਤਾਪ	ویجیبرتاب
ਵਿਜਯਪ੍ਰਿਤ	ویجیبریت
ਵਿਜੇਂਦਰ	ویجیندر
ਵਿਨਾਯਦੀਪ	وینایدیب
ਵਿਨਾਯਪੁਲ	وینایبول
ਵਿਨਾਯ੍ਬਿਰ	وینایبیر
ਵਿਮਾਂਲਜਿਤ	ویمانلجیت
ਵਿਮਾਂਲਜੋਤ	ویمانلجوت
ਵਿਮਾਂਲਪ੍ਰੇਮ	ویمانلبریم
ਵਿਰੀਨਦਾਰ ; ਵਿਰੀਨਦੇਰ	ویریندار ; ویریندیر
ਵਿਰੀਨਦੇਰ	ویریندیر
ਵਿਸਮਦ	ویسمد
ਵਿਸ਼ਾਲਦੀਪ	ویسالدیب
ਵਿਸ਼ਾਲਪ੍ਰਿਤ	ویسالبریت
ਵਿਸ਼੍ਵਰ੍ਪ੍ਰਿਤ	ویسوربریت
ਵਿਸ਼੍ਵਾਤਮ	ویسواتم
ਵਿਸਾਹ	ویساه
ਵੀਜਯਮਿਤ	ویجیمیت
ਵੀਰ	ویر
ਵੀਰ /ਵੀਰ	ویر /ویر
ਵੀਰਪਾਲ	ویربال
ਵੀਵੇਕ੍ਬੀਰ	ویویكبیر
ਵੀਸ੍ਰਮਣ	ویسرمن
ਵੇਰਾਜ	ویراج
ਵੈਭਵ	وایبهو
ਸਂਗਜਾਪ	سنججاب
ਸਂਗਤਪ੍ਰਿਤ	سنجتبریت
ਸਂਗਤਰੂਪ	سنجتروب
ਸਂਗਤ੍ਰਸ	سنجترس
ਸਂਗੀਤਾ	سنجیتا
ਸਂਗ੍ਰਾਮ	سنجرام
ਸਂਜੀਤ	سنجیت
ਸਂਜੋਗ	سنجوج
ਸਂਤਕੀਰੀਨ	سنتكیرین
ਸਂਤਪ੍ਰਕਾਸ਼	سنتبركاس
ਸਂਤਪ੍ਰੇਮ	سنتبریم
ਸਂਤਬੀਰ	سنتبیر
ਸਂਤੋਖਜੀਤ	سنتوكهجیت
ਸਂਤੋਖਜੋਤ	سنتوكهجوت
ਸਂਤੋਖਪ੍ਰਿਤ	سنتوكهبریت
ਸਂਤੋਖਬੀਰ	سنتوكهبیر
ਸਂਦੀਪ	سندیب
ਸਗਲਜੋਤ	سجلجوت
ਸਚਕਿਰਤ	ستشكیرت
ਸਚਜੋਗ	ستشجوج
ਸਚਪਾਲ	ستشبال
ਸਚਪ੍ਰਧਾਨ	ستشبردهان
ਸਚਭਾਗਤ	ستشبهاجت
ਸਚਮਾਨ	ستشمان
ਸਚਰੂਪ	ستشروب
ਸਚਵੀਰ	ستشویر
ਸਚਸੁਖ	ستشسوكه
ਸਚਸੇਵਕ	ستشسیوك
ਸਚਾਮ੍ਰਿਤ	ستشامریت
ਸਚ੍ਦੀਪ	ستشدیب
ਸਜੀਨਦੇਰ	سجیندیر
ਸਤਕਿਰਤ	ستكیرت
ਸਤਕੀਰਤ	ستكیرت
ਸਤਕੀਰ੍ਤਨ	ستكیرتن
ਸਤਗੁਨ	ستجون
ਸਤਗੁਰ	ستجور
ਸਤਜੋਤ	ستجوت
ਸਤਨਾਮ	ستنام
ਸਤਪਾਲ	ستبال
ਸਤਪ੍ਰਕਾਸ਼	ستبركاس
ਸਤਪ੍ਰਿਤ	ستبریت
ਸਤਪ੍ਰੇਮ	ستبریم
ਸਤਬਚਨ	ستبتشن
ਸਤਮਿਤ	ستمیت
ਸਤਰਜਿਤ	سترجیت
ਸਤਰਾਜ	ستراج
ਸਤਲੀਨ	ستلین
ਸਤਵਂਤ	ستونت
ਸਤਸਂਗਤ	ستسنجت
ਸਤਸਂਤੋਖ	ستسنتوكه
ਸਤਸਰਂਗ	ستسرنج
ਸਤਸੁਖ	ستسوكه
ਸਤੀਨਦੇਰ੍ਜਿਤ	ستیندیرجیت
ਸਤ੍ਯਜਿਤ	ستیجیت
ਸਤ੍ਯਪ੍ਰੇਮ	ستیبریم
ਸਥਿਨ੍ਦਰ	ستهیندر
ਸਦਜੀਵਨ	سدجیون
ਸਦਸੁਖ	سدسوكه
ਸਨਮੁਖ	سنموكه
ਸਨਾਨਤਨ	سنانتن
ਸਪਨਦੀਪ	سبندیب
ਸਪਾਹੀ	سباهی
ਸਬੂਰੀ	سبوری
ਸਭਾਜੀਤ	سبهاجیت
ਸਮਰਜੀਤ	سمرجیت
ਸਮਰਣ	سمرن
ਸਮਰਵੀਰ	سمرویر
ਸਮਰ੍ਥ	سمرته
ਸਮਾਂਰਬੀਰ	سمانربیر
ਸਮਾਂਰ੍ਜੋਤ	سمانرجوت
ਸਮਾਈ	سماإ
ਸਮੀਨਦੀਪ	سمیندیب
ਸਮੀਰ	سمیر
ਸਰਦਾਰ	سردار
ਸਰਨਦਾਯਲ	سرندایل
ਸਰਨਦੀਪ	سرندیب
ਸਰਨਾਗਤ	سرناجت
ਸਰਬਜੀਤ / ਸਰਬਜੀਤ	سربجیت / سربجیت
ਸਰਬਨੀਵਾਸ	سربنیواس
ਸਰਬਪ੍ਰਿਤ	سرببریت
ਸਰਬਸੁਖ	سربسوكه
ਸਰਬੁਤ੍ਤਮ	سربوتتم
ਸਰਬ੍ਗਿਆਨ	سربجیآن
ਸਰਬ੍ਜਿਤ	سربجیت
ਸਰਬ੍ਦਾਯਲ	سربدایل
ਸਰਬ੍ਦੀਪ	سربدیب
ਸਰਬ੍ਦੇਵ	سربدیو
ਸਰਬ੍ਧਾਰਾਮ	سربدهارام
ਸਰਲਜਿਤ	سرلجیت
ਸਰਲਬੀਰ	سرلبیر
ਸਰਾਬ੍ਰਜ	سرابرج
ਸਰੂਪ	سروب
ਸਰੂਰ	سرور
ਸਰ੍ਜਿਤ	سرجیت
ਸਰ੍ਮੀਨਦੇਰ	سرمیندیر
ਸਵਾਨਪ੍ਰਿਤ	سوانبریت
ਸਵਾਰਜਦੀਪ	سوارجدیب
ਸਵਾਰਜਬੀਰ	سوارجبیر
ਸਵਾਰਨਜੋਤ	سوارنجوت
ਸਵਾਰਨਪ੍ਰਿਤ	سوارنبریت
ਸਵੀਤੀਨਦੇਰ	سویتیندیر
ਸਵੀਤੋਜ	سویتوج
ਸਵੀਨਦੇਰ	سویندیر
ਸਹੀਲਮਿਤ	سهیلمیت
ਸ਼ਯ੍ਮ੍ਸੁਨ੍ਦਾਰ	سیمسوندار
ਸ਼ਰਨਪਾਲ	سرنبال
ਸ਼ਰਨਬੀਰ	سرنبیر
ਸ਼ਰਨ੍ਜੀਤ੍ਕੌਰ	سرنجیتكاور
ਸ਼ਾਂਤਚਿਤ	سانتتشیت
ਸ਼ਾਂਤਦੀਪ	سانتدیب
ਸ਼ਾਂਤਪ੍ਰਕਾਸ਼	سانتبركاس
ਸ਼ਾਂਤਪ੍ਰਿਤ	سانتبریت
ਸ਼ਾਂਤਬੀਰ	سانتبیر
ਸ਼ਾਂਤਲੀਨ	سانتلین
ਸ਼ਾਨਤ੍ਨੀਵਾਸ	سانتنیواس
ਸ਼ਾਬਦਚੇਤ	سابدتشیت
ਸ਼ਾਬਦਤੇਕ	سابدتیك
ਸ਼ਾਬਦ੍ਰਾਸ	سابدراس
ਸ਼ਾਬਾਦ੍ਦੀਪ	ساباددیب
ਸ਼ਾਲੀਨ	سالین
ਸ਼ਾਸ਼ੀਪ੍ਰਿਤ	ساسیبریت
ਸ਼ਿਵਚਰਣ	سیوتشرن
ਸ਼ਿਵ੍ਚਾਰਨ੍ਜੀਤ	سیوتشارنجیت
ਸ਼ੁਕਾਰਿਯਨ	سوكاریین
ਸ਼ੁਭਦੀਪ	سوبهدیب
ਸ਼ੂਰਵੀਰ	سورویر
ਸ਼ੇਰ	سیر
ਸ਼ੇਰਪੁਲ	سیربول
ਸ਼ੇਰਬਹਾਦੁਰ	سیربهادور
ਸ਼ੇਹ੍ਬਾਝ	سیهباجه
ਸਾਕਰਥ	ساكرته
ਸਾਖ	ساكه
ਸਾਗਰ	ساجر
ਸਾਜ	ساج
ਸਾਤਪੁਲ	ساتبول
ਸਾਧਨਾਹ	سادهناه
ਸਾਧਿਕਾ	سادهیكا
ਸਾਬਰ	سابر
ਸਾਰ	سار
ਸਿਂਦਾ	سیندا
ਸਿਓਪਰਿਤ	سیاوبریت
ਸਿਤਾਲਜੀਤ	سیتالجیت
ਸਿਤਾਲਜੋਤ	سیتالجوت
ਸਿਮਰਨ	سیمرن
ਸੀਖਲ	سیكهل
ਸੀਮਾਂਰ੍ਜਿਤ	سیمانرجیت
ਸੀਮਾਂਰ੍ਨਾਮ	سیمانرنام
ਸੀਮਾਂਰ੍ਪ੍ਰਿਤ	سیمانربریت
ਸੀਮਾਂਰ੍ਲੀਨ	سیمانرلین
ਸੀਮ੍ਰਤ	سیمرت
ਸੀਮ੍ਰਨਪਾਲ	سیمرنبال
ਸੀਮ੍ਰਨਪ੍ਰਿਤ	سیمرنبریت
ਸੀਮ੍ਰਨ੍ਕੌਰ	سیمرنكاور
ਸੀਮ੍ਰਨ੍ਜੀਤ	سیمرنجیت
ਸੀਮ੍ਰੀਤਾ	سیمریتا
ਸੀਰਤ	سیرت
ਸੀਰੀਪ੍ਰੀਤਮ	سیریبریتم
ਸੀਰੀਵੇਦ੍ਯਾ	سیریویدیا
ਸੀਰੀਸੀਮ੍ਰਣ	سیریسیمرن
ਸੀਰੀਸੇਵਾ	سیریسیوا
ਸੁਖਚੈਨ	سوكهتشاین
ਸੁਖਜੀਵਨ	سوكهجیون
ਸੁਖਜੋਤ	سوكهجوت
ਸੁਖਜੋਧ	سوكهجوده
ਸੁਖਦਾਯਲ	سوكهدایل
ਸੁਖਦੀਪ	سوكهدیب
ਸੁਖਦੇਵ	سوكهدیو
ਸੁਖਬੀਰ	سوكهبیر
ਸੁਖਮਾਂ	سوكهمان
ਸੁਖਰੂਪ	سوكهروب
ਸੁਖਸਿਤਾਲ	سوكهسیتال
ਸੁਖਸੀਮ੍ਰਣ	سوكهسیمرن
ਸੁਖਾਨਂਦ	سوكهانند
ਸੁਖਿਤ	سوكهیت
ਸੁਖੀਨ	سوكهین
ਸੁਖੀਨ੍ਦੇਰ	سوكهیندیر
ਸੁਖ੍ਚਾਰਨ੍ਜੀਤ	سوكهتشارنجیت
ਸੁਖ੍ਜਿਤ	سوكهجیت
ਸੁਚਦੀਪ	سوتشدیب
ਸੁਚਦੇਵ	سوتشدیو
ਸੁਚਮ	سوتشم
ਸੁਜਨਰੂਪ	سوجنروب
ਸੁਜਨ੍ਬੀਰ	سوجنبیر
ਸੁਜ੍ਜਨ	سوججن
ਸੁਧਬੁਧ	سودهبوده
ਸੁਧਸੁਰਤ	سودهسورت
ਸੁਭਪ੍ਰਿਤ	سوبهبریت
ਸੁਹੇਜਦੀਪ	سوهیجدیب
ਸੇਵਾਕਪ੍ਰਿਤ	سیواكبریت
ਸੇਵਾਕਪ੍ਰੇਮ	سیواكبریم
ਸੇਵਾਕਰਣ	سیواكرن
ਸੇਵਾਪ੍ਰੀਤ	سیوابریت
ਸੇਹਜ	سیهج
ਸੇਹੇਜਬੀਰ	سیهیجبیر
ਸੈਲੇਸ਼ਦੀਪ	سایلیسدیب
ਸੈਹਜ	سایهج
ਸੈਹਾਜਨੀਵਾਸ	سایهاجنیواس
ਸੈਹਾਜਲੀਨ	سایهاجلین
ਸੈਹਾਜਾਧਾਰ	سایهاجادهار
ਸੋਚੀ	سوتشی
ਸੋਨਹਨ	سونهن
ਸੋਭਾਵਂਤ	سوبهاونت
ਸੋਹੀਨਦੇਰ	سوهیندیر
ਸੋਹੁਨ	سوهون
ਸ੍ਵਰ੍ਨ	سورن
ਹਕਾਮਪ੍ਰਿਤ	هكامبریت
ਹਨ੍ਸ੍ਪਾਲ	هنسبال
ਹਰਕਾਨ੍ਵਾਲ	هركانوال
ਹਰਕੀਰਣ	هركیرن
ਹਰਗੀਤ	هرجیت
ਹਰਗੁਰ੍ਮਿਤ (ਮਿਤ )	هرجورمیت (میت )
ਹਰਗੋਬੀਨ੍ਦ	هرجوبیند
ਹਰਚਰਣ	هرتشرن
ਹਰਜਪ	هرجب
ਹਰਜੀ	هرجی
ਹਰਜੀਤ	هرجیت
ਹਰਜੀਨ੍ਦੇਰ	هرجیندیر
ਹਰਜੀਵ	هرجیو
ਹਰਜੁਗਤ	هرجوجت
ਹਰਜੋਗ	هرجوج
ਹਰਜੋਧ	هرجوده
ਹਰਜ੍ਯੋਤ	هرجیوت
ਹਰਤਿਰਥ	هرتیرته
ਹਰਤੇਜ੍ਪਾਲ	هرتیجبال
ਹਰਦਯਾਲ	هردیال
ਹਰਦਾਸ	هرداس
ਹਰਦਿਪਾ	هردیبا
ਹਰਦੀਪ	هردیب
ਹਰਧਨ	هردهن
ਹਰਨਾਮ	هرنام
ਹਰਨਾਰਾਯਣ	هرناراین
ਹਰਨਿਤ	هرنیت
ਹਰਨੀਰ੍ਮਲ	هرنیرمل
ਹਰਨੀਹਲ	هرنیهل
ਹਰਪਰ੍ਸਨ੍ਨ	هربرسنن
ਹਰਪਾਲ	هربال
ਹਰਪ੍ਰੇਮ੍ਜੀਤ	هربریمجیت
ਹਰਬਿਂਦਰ	هربیندر
ਹਰਬਿਰ	هربیر
ਹਰਭਗਤ	هربهجت
ਹਰਮਨਾਦ	هرمناد
ਹਰਮਾਂਨ੍ਦੇਰ	هرمانندیر
ਹਰਮੀਤ	هرمیت
ਹਰਮੀਲਨ	هرمیلن
ਹਰਮੂਰਤ	هرمورت
ਹਰਰਾਈ	هرراإ
ਹਰਰੂਪ	هرروب
ਹਰਵਂਤ	هرونت
ਹਰਵਿਨ	هروین
ਹਰਸ਼ਰਣ	هرسرن
ਹਰਸਿਤਾਲ	هرسیتال
ਹਰਸੀਮ੍ਰਣ	هرسیمرن
ਹਰਸੀਮ੍ਰਨ੍ਜੋਤ	هرسیمرنجوت
ਹਰਸੀਮ੍ਰਿਤ	هرسیمریت
ਹਰਸੁਖ	هرسوكه
ਹਰਾਨੂਪ	هرانوب
ਹਰਾਮ੍ਰੀਤ	هرامریت
ਹਰਿਕੀਰ੍ਤਨ	هریكیرتن
ਹਰਿਦਰ੍ਸ਼ਨ	هریدرسن
ਹਰਿਨਾਰਾਯਣ	هریناراین
ਹਰਿਪ੍ਰੀਤ	هریبریت
ਹਰੀਅਮ੍ਰਿਤ	هریامریت
ਹਰੀਸਰੂਪ	هریسروب
ਹਰੀਸੀਮਾਂਰਣ	هریسیمانرن
ਹਰ੍ਕਾਰਾਨ੍ਜੀਤ	هركارانجیت
ਹਰ੍ਕੀਰਨ੍ਜੀਤ	هركیرنجیت
ਹਰ੍ਕੀਰਪਾਲ	هركیربال
ਹਰ੍ਜਸ	هرجس
ਹਰ੍ਤੇਇਜ	هرتیإج
ਹਰ੍ਨੀਝ	هرنیجه
ਹਰ੍ਬਂਸ	هربنس
ਹਰ੍ਮਾਂਨਜਿਤ	هرماننجیت
ਹਰ੍ਮਾਂਨਪਾਲ	هرماننبال
ਹਰ੍ਮੀਨ੍ਦੇਰ	هرمیندیر
ਹਰ੍ਮੇਂਦ੍ਰ	هرمیندر
ਹਰ੍ਸ਼ਰ੍ਧਾ	هرسردها
ਹਰ੍ਸ਼ਵਰ੍ਧਨ	هرسوردهن
ਹਰ੍ਸ਼ਾਗੁਨ	هرساجون
ਹਰ੍ਸਿਰਤ	هرسیرت
ਹਸਨ	هسن
ਹਾਰਭਾਗ	هاربهاج
ਹਿਤੀਨਦੇਰ	هیتیندیر
ਹਿਤੇਨਦੇਰ	هیتیندیر
ਹਿਮ੍ਮਤ	هیممت
ਹਿਰੀਸ਼	هیریس
ਹੁਅਲੀਨਾ	هوالینا
ਹੁਕੁਮਪਰਿਤ	هوكومبریت
ਹੂਜਓਏ	هوجاوي
ਹੇਤ	هیت
ਹੇਤਬੀਰ	هیتبیر
ਹੇਮੀਨਦੇਰ	هیمیندیر
ਹੇਯ੍ਮਾਂਨ੍ਪ੍ਰਿਤ	هییماننبریت
ਹੇਰਹੋ	هیرهو
