# Baby names
ಅಕಾರ್ಯಸುತಾ	اكاریسوتا
ಸಾಈ ಸತ್ಪುರುಷಾ	ساي ستبوروشا
ಸಾಈ ಸುರಿಯಾ	ساي سورییا
ಸಾತ್ವಿಕ	ساتویك
ಸಾತ್ವಿಕಾ	ساتویكا
ಸಾದರೀ	سادری
ಸಾದ್ವಿಥಾ	سادویتها
ಸಾಧ್ಯ	سادهی
ಸಾನಾವೀ	ساناوی
ಸಾಬೀತ್ರೀ	سابیتری
ಸಾಮಂತ	سامنت
ಸಾಮೋದ	سامود
ಸಾಮ್ರೀನ	سامرین
ಸಾಯರಾಮ	سایرام
ಸಾರಂಗೀ	سارنجی
ಸಾರಸೀ	سارسی
ಸಾರಾನ್ಯ	سارانی
ಸಾರಾಹ	ساراه
ಸಾವಿತ್ರ	ساویتر
ಸೈಕತ	سایكت
ಸೈಜಾಸೀ	سایجاسی
ಸೈನಿ	ساینی
ಸೈನೀತ್ಯ	ساینیتی
ಸೈನ್ಧಾವ	سایندهاو
ಹಂಸಾ	هنسا
ಹಂಸಿನ	هنسین
ಹಂಸ್ಧ್ವಾನೀ	هنسدهوانی
ಹಜೇಶ	هجیش
ಹನೀತಾ	هنیتا
ಹನೀಮಾ	هنیما
ಹನೀಶ್ಕಾ	هنیشكا
ಹಮಸಾನಂದೀನೀ	همسانندینی
ಹಯಾತೀ	هیاتی
ಹರನೀಶ	هرنیش
ಹರಿಅಕ್ಸಾ	هریاكسا
ಹರಿಕಿಶನ	هریكیشن
ಹರಿತ	هریت
ಹರಿದಾ	هریدا
ಹರಿದಾಸ	هریداس
ಹರಿನ್ದ್ರನಾಥ	هریندرناته
ಹರಿಪ್ರಸಾದ	هریبرساد
ಹರಿವಂಶ	هریونش
ಹರೀಜ	هریج
ಹರೀಥ್ರಾ	هریتهرا
ಹರೀಧಾಮ	هریدهام
ಹರೀಮಾಂರ್ಕಾತಾಮಾಂರ್ಕತಾ	هریمانركاتامانركتا
ಹರೀಶ್ರೀ	هریشری
ಹರೀಸಾಈ	هریساي
ಹರೇಕೃಷ್ಣ	هریكرشن
ಹರ್ಕೇಶ	هركیش
ಹರ್ಥೀಕಾ	هرتهیكا
ಹರ್ಯಾಕ್ಷಾ	هریاكشا
ಹರ್ಲೇಯ	هرلیی
ಹರ್ಶಾಶ್ರೀ	هرشاشری
ಹರ್ಷವರ್ದನ	هرشوردن
ಹರ್ಷಿತ	هرشیت
ಹವೀಹ	هویه
ಹಶ್ವರ್ಧನ	هشوردهن
ಹಸಂತ	هسنت
ಹಾಕೇಶ	هاكیش
ಹಾರ್ಶೀನೀ	هارشینی
ಹಾಸಂಥೀ	هاسنتهی
ಹಿಡಿಂಬಾ	هیدینبا
ಹಿತಾಂಶು	هیتانشو
ಹಿತಾಂಸೀ	هیتانسی
ಹಿತೀ	هیتی
ಹಿತೀಕ್ಷಾ	هیتیكشا
ಹಿತೇನ್ದ್ರ	هیتیندر
ಹಿತೈಷೀ	هیتایشی
ಹಿಥೀಕ್ಸಾ	هیتهیكسا
ಹಿಮವಂತ	هیمونت
ಹಿಮಾಂಕ	هیمانك
ಹಿಮಾಂನಿಶ	هیماننیش
ಹಿಮಾಂನ್ಗೀನೀ	هیماننجینی
ಹಿಮಾಂಸೇಖರ	هیمانسیكهر
ಹಿಮಾದ್ರೀ	هیمادری
ಹಿಮಾನ್ಸು	هیمانسو
ಹಿಯಾ	هییا
ಹಿಲೀ	هیلی
ಹೀಥಾ	هیتها
ಹೀಮೀರ	هیمیر
ಹುಮೀಶಾ	هومیشا
ಹುವೇನ್ದ್ರ	هوویندر
ಹೇತ	هیت
ಹೇತವ	هیتو
ಹೇತಾಂಶೀ	هیتانشی
ಹೇತ್ವಿಕ	هیتویك
ಹೇಥಾನ್ಶ್ರೀ	هیتهانشری
ಹೇನಾ	هینا
ಹೇನೀತ	هینیت
ಹೇನ್ಸೀ	هینسی
ಹೇಮ ಲಥಾ	هیم لتها
ಹೇಮಚಂದರ	هیمتشندر
ಹೇಮಾಕೇಶ	هیماكیش
ಹೇಮೀತಾ	هیمیتا
ಹೇಮೀತ್ರಾ	هیمیترا
ಹೇಮೀನ	هیمین
ಹೇಮೇಂದ್ರ	هیمیندر
ಹೇರಕ	هیرك
ಹೇರೀ	هیری
ಹೇಲಸಾ	هیلسا
ಹೇಲಾ	هیلا
ಹೇಲ್ಲ್ಯ	هیللی
ಹೋಜನ	هوجن
ಹೋಯಲಾ	هویلا
ಹ್ರೀತೀಕಾ	هریتیكا
ಹ್ರೀದೇಶ	هریدیش
ಹ್ರೀದ್ಯೇಸಾ	هریدییسا
ಹ್ರೀಶನ	هریشن
