childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
Modern Japanese (Q10936177)	Japanese (ja) (ja, Q528)
Modern Literary Tibetan (Q4709295)	Tibetan (bo) (bo, Q3427)
Modern Norwegian (Q688879)	North Germanic languages (gmq) (gmq, Q10608)
Modern South Arabian (Q198190)	West Semitic (Q12490)
Modern Ukrainian (Q1215899)	Ukrainian (uk) (uk, Q879)
Modole (mqo) (mqo, Q1173245)	West Papuan (Q136302)
Moere (mvq) (mvq, Q1173245)	Croisilles (Q1695282)
Mofu-Gudur (mif) (mif, Q136513)	Biu–Mandara (Q225154)
Mogholi (mhj) (mhj, Q1333)	Mongolian languages (xgn) (xgn, Q3375)
Mohave (mov) (mov, Q5651)	Yuman–Cochimí (Q57913)
Mohawk (moh) (moh, Q1333)	Iroquoian languages (iro) (iro, Q3362)
Mohegan-Pequot (xpq) (xpq, Q331913)	Narragansett (xnt) (xnt, Q1611612)
Moi [Congo] (mow) (mow, Q1112479)	Ngiri (Q345059)
Moi [Indonesia] (mxn) (mxn, Q1173245)	West Bird's Head (Q798447)
Moingi (mwz) (mwz, Q1101190)	Bantu [Other] (bnt) (bnt, Q3314)
Moiso (Q6185542)	North and Central Vanuatu (Q307030)
Moji (ymi) (ymi, Q689506)	Southeastern Loloish (Q1611189)
Mok (mqt) (mqt, Q1301855)	Angkuic (Q1983985)
Mokati (wnb) (wnb, Q796705)	Papuan [Other] (paa) (paa, Q23642)
Moken (mwt) (mwt, Q321748)	Moklenic (Q6078759)
Moken (mwt) (mwt, Q321748)	Western Malayo-Polynesian languages (pqw) (pqw, Q269939)
Mokerang (mft) (mft, Q331938)	Mokoreng-Loniu (Q1611615)
Mokilese (mkj) (mkj, Q233552)	Ponapeic (Q722756)
Moklen (mkm) (mkm, Q331938)	Moken (mwt) (mwt, Q321748)
Moklenic (Q6078759)	Malayo-Polynesian languages (poz) (poz, Q14315)
Mokole (Q1693544)	Manding–Jogo (Q1263615)
Mokole (mkl) (mkl, Q3604)	Ede (Q3536)
Mokoreng-Loniu (Q1611615)	Manus (Q1705348)
Mokpwe (bri) (bri, Q3642)	Bantu [Other] (bnt) (bnt, Q3314)
Moksha (mdf) (mdf, Q1334)	Mordvinic (Q62731)
Molale (mbe) (mbe, Q331944)	Penutian (Q11548)
Molbog (pwm) (pwm, Q689571)	Austronesian [Other] (map) (map, Q4922)
Moldavian (ro-MD) (ro-MD, Q3639)	Romanian (ro) (ro, Q791)
Moldova Sign Language (vsi) (vsi, Q1295347)	Russian Sign Language (rsl) (rsl, Q1321)
Mole-Dagbani (Q10637305)	Oti–Volta (Q115717)
Molengue (bxc) (bxc, Q1334)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Molima (mox) (mox, Q331949)	Western Oceanic (Q270128)
Molmo One (aun) (aun, Q1263722)	One (Q709352)
Molo (zmo) (zmo, Q1597435)	Aka-Kelo-Molo (Q1262664)
Moloko (mlw) (mlw, Q196522)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Moma (myl) (myl, Q689701)	Kaili–Pamona (Q321746)
Momare (msz) (msz, Q689703)	Huon (Q594610)
Mombo Dogon (dmb) (dmb, Q689707)	Dogon (Q123477)
Mombum (Q689707)	Asmat–Mombum (Q6078749)
Mombum (mso) (mso, Q689707)	Mombum (Q689707)
Momina (mmb) (mmb, Q689729)	Somahai (Q755912)
Momo (Q689739)	Grassfields Bantu (Q75093)
Momuna (mqf) (mqf, Q689751)	Somahai (Q755912)
Mon (mnw) (mnw, Q1334)	Monic (Q321749)
Mon-Khmer [Other] (mkh) (mkh, Q33765)	Austro-Asiatic languages (aav) (aav, Q3319)
Mon-Khmer [Other] (mkh) (mkh, Q33765)	Q9879175 (Q9879175)
Mon-Pali (Q10027113)	Mon (mnw) (mnw, Q1334)
Monde (Q321748)	Tupi languages (tup) (tup, Q3407)
Mondropolon (npn) (npn, Q332059)	Manus (Q1705348)
Mondzi (Q1691982)	Mondzish (Q689883)
Mondzish (Q689883)	Lolo-Burmese (Q163571)
Mondé (mnd) (mnd, Q689884)	Monde (Q321748)
Mongghul (Q5376552)	Tu (mjg) (mjg, Q3421)
Mongo (lol) (lol, Q11289)	Bantu [Other] (bnt) (bnt, Q3314)
Mongol (mgt) (mgt, Q1126067)	Mongol–Langam (Q1125900)
Mongolia Buriat (bxm) (bxm, Q1263723)	Buriat (bua) (bua, Q3312)
Mongolian (mn) (mn, Q5655)	Mongolian (mn) (mn, Q924)
Mongolian (mn) (mn, Q639980)	Mongolian (mn) (mn, Q924)
Mongolian (mn) (mn, Q924)	Mongolian languages (xgn) (xgn, Q3375)
Mongolian Sign Language (msr) (msr, Q391549)	Russian Sign Language (rsl) (rsl, Q1321)
Mongolian languages (xgn) (xgn, Q3375)	Altaic [Other] (tut) (tut, Q3784)
Mongol–Langam (Q1125900)	Papuan [Other] (paa) (paa, Q23642)
Mongondow (mog) (mog, Q305845)	Gorontalo–Mongondow (Q37130)
Mongphu (Q4880797)	Mondzish (Q689883)
Monic (Q321749)	Mon-Khmer [Other] (mkh) (mkh, Q33765)
Mono [Cameroon] (mru) (mru, Q1103196)	Mbum (Q679981)
Mono [Democratic Republic of Congo] (mnh) (mnh, Q3350)	Banda (bad) (bad, Q80623)
Mono [Solomon Islands] (mte) (mte, Q3350)	Northwest Solomonic (Q649157)
Mono [USA] (mnr) (mnr, Q3359)	Numic (Q265754)
Montenegrin (cnr) (cnr, Q882)	Q348759 (Q348759)
Monumbo (Q1692841)	Torricelli (Q133383)
Monumbo (mxk) (mxk, Q690679)	Monumbo (Q1692841)
Monzombo (moj) (moj, Q1115477)	Ngbaka (Q321749)
Moose Cree (crm) (crm, Q344667)	Cree (cr) (cr, Q3339)
Mopán Maya (mop) (mop, Q3618)	Yucatecan (Q411987)
Mor [Mor Islands] (mhz) (mhz, Q212279)	South Halmahera–West New Guinea (Q252661)
Moraid (msg) (msg, Q690902)	West Bird's Head (Q798447)
Morawa (mze) (mze, Q690938)	Mailuan (Q673583)
Mordvinic (Q62731)	Finno-Volgaic (Q16123)
Morehead and Upper Maro River (Q1506227)	Papuan [Other] (paa) (paa, Q23642)
Morelos Nahuatl (nhm) (nhm, Q480081)	Central Nahuatl (Q506147)
Morerebi (xmo) (xmo, Q1295374)	Tupi–Guarani (Q14861)
Mores (Q8578628)	Espiritu Santo (Q206225)
Moresada (msx) (msx, Q1173247)	Southern Adelbert (Q1263398)
Mori (Q691212)	Bungku–Tolaki (Q321738)
Mori Atas (mzq) (mzq, Q332407)	Mori (Q691212)
Mori Bawah (xmz) (xmz, Q332406)	Mori (Q691212)
Morigi (mdb) (mdb, Q691219)	Kiwaian (Q33844)
Morisyen (mfe) (mfe, Q3366)	Creoles and pidgins, French-based [Other] (cpf) (cpf, Q3326)
Moro (Q10708698)	Shammo (Q10708748)
Moro (mor) (mor, Q3617)	Talodi–Heiban (Q152114)
Morobe – Eastern Highlands (Q9639392)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Moroccan Arabic (Arabic) (ary-Arab) (ary-Arab, Q10719800)	Moroccan Arabic (ary) (ary, Q5642)
Moroccan Arabic (Latin) (ary-Latn) (ary-Latn, Q10719794)	Moroccan Arabic (ary) (ary, Q5642)
Moroccan Arabic (ary) (ary, Q5642)	Maghrebi Arabic (Q119479)
Morokodo (mgc) (mgc, Q691321)	Bongo–Bagirmi (Q350504)
Morom (bdo) (bdo, Q75977)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Moronene (mqn) (mqn, Q64258)	Bungku–Tolaki (Q321738)
Morori (mok) (mok, Q691327)	Papuan [Other] (paa) (paa, Q23642)
Morouas (mrp) (mrp, Q691329)	North and Central Vanuatu (Q307030)
Morrobalama (umg) (umg, Q391567)	Paman (Q264065)
Mortlockese (mrl) (mrl, Q332459)	Chuukic (Q784764)
Moru (mgd) (mgd, Q691501)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Moru–Madi (Q691515)	Central Sudanic East (Q1691169)
Mosetenan (Q1263731)	Moseten–Chonan (Q691603)
Moseten–Chonan (Q691603)	Q5173 (Q5173)
Mosetén (Q2539522)	Mosetenan (Q1263731)
Mosimo (mqv) (mqv, Q1173247)	Hanseman (Q565102)
Mosiro (mwy) (mwy, Q691628)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Mossi (mos) (mos, Q3609)	Gur (Q3353)
Mossi (mos) (mos, Q3609)	Oti–Volta (Q115717)
Mota (mtt) (mtt, Q332505)	North and Central Vanuatu (Q307030)
Motang (Q4880796)	Mondzish (Q689883)
Motlav (mlv) (mlv, Q247553)	North and Central Vanuatu (Q307030)
Motu (meu) (meu, Q3351)	Western Oceanic (Q270128)
Mouk-Aria (mwh) (mwh, Q332549)	Western Oceanic (Q270128)
Moundadan Chetty (cty) (cty, Q10528842)	Kannada-Badaga (Q636388)
Mountain Guarijio (Q2266187)	Huarijio (var) (var, Q1097401)
Mountain Koiali (kpx) (kpx, Q692503)	Koiarian (Q1115424)
Mouwase (jmw) (jmw, Q6325697)	Turama–Kikorian (Q785368)
Movima (mzp) (mzp, Q165970)	Q5173 (Q5173)
Moxo (Q692754)	Arawakan languages (awd) (awd, Q62675)
Moyadan Itneg (ity) (ity, Q1295358)	Kalinga (Q635287)
Moyon Naga (nmo) (nmo, Q692774)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Mozambican Ngoni (Q10519859)	Ngoni (ngo) (ngo, Q702254)
Mozarabic (mxi) (mxi, Q31704)	Pyrenean-Mozarabic (Q588671)
Mpade (mpi) (mpi, Q328067)	Biu–Mandara (Q225154)
Mpalitjanh (xpj) (xpj, Q692819)	North Cape York Paman (Q705436)
Mpama (Q1691831)	Bangi–Ntomba (Q80647)
Mpi (mpz) (mpz, Q692827)	Bi-Ka (Q1262789)
Mpiemo (mcx) (mcx, Q3590)	Makaa-Njem (Q160389)
Mpinda (pnd) (pnd, Q6330819)	Kimbundu (Q1694768)
Mpoto (mpa) (mpa, Q692830)	Bantu [Other] (bnt) (bnt, Q3314)
Mpotovoro (mvt) (mvt, Q692830)	Malakula (Q674306)
Mpra (Q27804)	Volta–Congo (Q3722)
Mpumpong (mgg) (mgg, Q3592)	Makaa-Njem (Q160389)
Mro-Khimi Chin (cmr) (cmr, Q1630674)	Kuki-Chin (Q83241)
Mru (mro) (mro, Q195152)	Mruic (Q1690887)
Mruic (Q1690887)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Mser (kqx) (kqx, Q350234)	Biu–Mandara (Q225154)
Mt. Iraya Agta (atl) (atl, Q692143)	Bikol (bik) (bik, Q3545)
Mt. Iriga Agta (agz) (agz, Q692143)	Austronesian [Other] (map) (map, Q4922)
Muak Sa-aak (ukk) (ukk, Q2380799)	Angkuic (Q1983985)
Mualang (mtd) (mtd, Q307345)	Ibanic (Q321746)
Muangphe (Q1689072)	Mondzish (Q689883)
Mubami (tsx) (tsx, Q693081)	Papuan [Other] (paa) (paa, Q23642)
Mubi (mub) (mub, Q344051)	Q1672306 (Q1672306)
Mucuchí (Q693129)	Mucuchí–Marripú (Q3310865)
Mucuchí–Marripú (Q3310865)	Timotean (Q321754)
Muda (ymd) (ymd, Q693149)	Akhaic (Q1262665)
Mudburra (dmw) (dmw, Q693157)	Paman (Q264065)
Mudhili Gadaba (gau) (gau, Q1295243)	Q1062042 (Q1062042)
Mudu Koraga (vmd) (vmd, Q1295265)	Koraga (Q3339)
Muduga (udg) (udg, Q1688676)	South Dravidian (Q1611284)
Muellama (Q1688693)	Awan (Q340211)
Mufian (aoj) (aoj, Q350788)	Arapesh (Q478422)
Mugom (muk) (muk, Q693221)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Mugom-Karmarong (Q11324525)	Q164115 (Q164115)
Muher (Q3374)	Gurage (Q352801)
Muinane (bmr) (bmr, Q302789)	Bora–Witoto (Q17908)
Muirin (Q430671)	Dargin (Q522263)
Mukha-Dora (mmk) (mmk, Q693344)	Dravidian [Other] (dra) (dra, Q3331)
Mukomuko (Q1295287)	Minangkabau (min) (min, Q1332)
Mukomuko (Q1295287)	Minangkabauic (Q10943776)
Mukulu (moz) (moz, Q344040)	East Chadic (Q227622)
Mulaha (mfw) (mfw, Q693372)	Papuan [Other] (paa) (paa, Q23642)
Mulam (mlm) (mlm, Q309228)	Kam–Sui (Q102364)
Mulao (giu) (giu, Q1109283)	A'ou (aou) (aou, Q5640)
Mulgi (Q69574)	Q1329 (Q1329)
Mullu Kurumba (kpb) (kpb, Q1957311)	Malayalam (Q674158)
Muluridyi (vmu) (vmu, Q1059014)	Pama–Nyungan (Q3394)
Mum (kqa) (kqa, Q693525)	Papuan [Other] (paa) (paa, Q23642)
Mumeng (Q693538)	Buang (Q1262845)
Mumuye (mzm) (mzm, Q3602)	Adamawa (Q3290)
Mumuye–Yendang (Q693553)	Leko-Nimbari (Q170817)
Muna (mnb) (mnb, Q693558)	Alor (aol) (aol, Q333206)
Muna (mnb) (mnb, Q693558)	Austronesian [Other] (map) (map, Q4922)
Muna–Buton (Q303792)	Western Malayo-Polynesian languages (pqw) (pqw, Q269939)
Munda languages (mun) (mun, Q3389)	Austro-Asiatic languages (aav) (aav, Q3319)
Mundabli (boe) (boe, Q3612)	Southern Bantoid (Q318315)
Mundang (mua) (mua, Q3603)	Adamawa (Q3290)
Mundari (unr) (unr, Q332782)	Kherwari (Q1611436)
Mundat (mmf) (mmf, Q5626)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Mundum (Q693589)	Ngemba (nge) (nge, Q675055)
Munduruku (Q321749)	Tupi languages (tup) (tup, Q3407)
Mundurukú (myu) (myu, Q74672)	Munduruku (Q321749)
Mungaka (mhk) (mhk, Q3606)	Grassfields Bantu (Q75093)
Mungaka (mhk) (mhk, Q3606)	Nun (Q1365429)
Munggui (mth) (mth, Q693601)	Austronesian [Other] (map) (map, Q4922)
Mungkip (mpv) (mpv, Q1173248)	Finisterre–Huon (Q321745)
Muniche (myr) (myr, Q391565)	Q5173 (Q5173)
Munit (mtc) (mtc, Q1173248)	Kokon (Q642677)
Munji (mnj) (mnj, Q3363)	Yidgha-Munja (Q1173283)
Munyo (Q3904603)	Oromo (om) (om, Q3386)
Muong (Q1611668)	Vietic (Q235554)
Muong (mtq) (mtq, Q323678)	Muong (Q1611668)
Mur Pano (tkv) (tkv, Q1693937)	Ngero–Vitiaz (Q306442)
Mura-Bohurá (Q900674)	Q3382 (Q3382)
Muratayak (asx) (asx, Q1173276)	Warup (Q1264508)
Murato (Q590867)	Uru–Chipaya (Q247548)
Muria (Q693849)	Gondi (gon) (gon, Q177536)
Murik [Malaysia] (mxr) (mxr, Q332815)	Kayan–Murik (Q321746)
Murik [Papua New Guinea] (mtf) (mtf, Q705003)	Ramu–Lower Sepik (Q321747)
Murkim (rmh) (rmh, Q430807)	South Pauwasi (Q1985677)
Murle (mur) (mur, Q5672)	Surmic (Q206692)
Murrinh-Patha (mwf) (mwf, Q298039)	Southern Daly (Q1263743)
Mursi (muz) (muz, Q3601)	Surmic (Q206692)
Murui Huitoto (huu) (huu, Q264093)	Witotoan (Q4307931)
Murutic (Q321749)	Sabahan (Q321751)
Muruwari (zmu) (zmu, Q391544)	Pama–Nyungan (Q3394)
Musak (mmq) (mmq, Q694007)	Southern Adelbert (Q1263398)
Musar (mmi) (mmi, Q694011)	Papuan [Other] (paa) (paa, Q23642)
Musasa (smm) (smm, Q694012)	Tharu (Q3403)
Muscogee (mus) (mus, Q52301)	Muskogean (Q90297)
Musey (mse) (mse, Q5632)	Masa (Q213609)
Musgu (mug) (mug, Q312354)	Musgu-Mbara (Q1659008)
Musgu-Mbara (Q1659008)	Biu–Mandara (Q225154)
Mush dialect (Q1305413)	Armenian (hy) (hy, Q878)
Mushungulu (xma) (xma, Q1173248)	Northeast Coast Bantu (Q705784)
Musi (mui) (mui, Q61566)	Malay (ms) (ms, Q923)
Musi (mui) (mui, Q61566)	Music (Q11095222)
Music (Q11095222)	Malayic (Q66262)
Muskogean (Q90297)	Q5173 (Q5173)
Muslim Tat (Q12396417)	Muslim Tat (ttt) (ttt, Q5648)
Muslim Tat (ttt) (ttt, Q5648)	Persian (fa) (fa, Q916)
Musom (msu) (msu, Q694304)	Markham (Q306443)
Mussau-Emira (emi) (emi, Q694309)	St. Matthias (Q648414)
Muteun (Q1957313)	Hani (Q1700418)
Muthuvan (muv) (muv, Q332742)	Tamil languages (Q768141)
Mutsun (Q311186)	Southern Ohlone (css) (css, Q2555966)
Mutu (tuc) (tuc, Q333100)	Western Oceanic (Q270128)
Muya (mvm) (mvm, Q242275)	Qiangic (Q163676)
Muyang (muy) (muy, Q350230)	Biu–Mandara (Q225154)
Muyu (Q1491689)	Ok (Q708168)
Muyuw (myw) (myw, Q350287)	Austronesian [Other] (map) (map, Q4922)
Muzi (ymz) (ymz, Q694444)	Southeastern Loloish (Q1611189)
Mvanip (mcj) (mcj, Q391328)	Mambila-Konja (Q1611218)
Mvaï (Q12316333)	Fang (fan) (fan, Q3348)
Mvuba (mxh) (mxh, Q694459)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Mwaghavul (sur) (sur, Q344048)	Angas (Q2058607)
Mwali Comorian (wlc) (wlc, Q331915)	Q3307 (Q3307)
Mwan (moa) (moa, Q332011)	Mande languages (dmn) (dmn, Q3368)
Mwani (wmw) (wmw, Q304220)	Sabaki (Q220939)
Mwatebu (mwa) (mwa, Q1491689)	Papuan Tip (Q303910)
Mwele (Q694471)	Nzebi (Q175549)
Mwera [Chimwera] (mwe) (mwe, Q694472)	Bantu [Other] (bnt) (bnt, Q3314)
Mwera [Nyasa] (mjh) (mjh, Q679960)	Nyasa (Q707092)
Mwimbi-Muthambi (mws) (mws, Q1563235)	Central Kenya Bantu (Q11652057)
Myang Zhuang (Q2844979)	Zhuang (za) (za, Q1321)
Mycenaean Greek (gmy) (gmy, Q66836)	Hellenic (Q204253)
Myene (mye) (mye, Q3583)	Kele–Tsogo (Q638557)
Mysian (yms) (yms, Q257722)	Graeco-Phrygian (Q1714321)
Mzab-Wargla (Q1115676)	Zenati (Q229395)
Mzieme Naga (nme) (nme, Q694947)	Zeme (Q18929)
Mághdì (gmd) (gmd, Q391447)	Waja-Jen (Q1264504)
Ménik (tnr) (tnr, Q3509)	Tenda (Q321753)
Métis French (Q695013)	Canadian French (fr-CA) (fr-CA, Q145050)
Mískito (miq) (miq, Q151680)	Misumalpan (Q28169)
Mócheno (mhn) (mhn, Q26813)	Q26352 (Q26352)
Môa Nawa (Q1691922)	Panoan (Q154453)
Māhārāṣṭri Prākrit (pmh) (pmh, Q258677)	Indic [Other] (inc) (inc, Q3357)
Māhārāṣṭri Prākrit (pmh) (pmh, Q258677)	Q1311898 (Q1311898)
Māori (Region Subdivision: null) (mi-u-sd-nzcit) (mi-u-sd-nzcit, Q274187)	Tahitic (Q3893)
Māori (mi) (mi, Q3645)	Tahitic (Q3893)
Na (nbt) (nbt, Q1295289)	Bangni-Tagin (Q1683773)
Na-Dene languages (xnd) (xnd, Q2698)	Q5173 (Q5173)
Na-kara (nck) (nck, Q696066)	Maningrida (Q438383)
Naami (bzv) (bzv, Q3497)	Beboid (Q81354)
Naasioi (nas) (nas, Q5677)	South Bougainville (Q321738)
Naba (mne) (mne, Q76073)	Bongo–Bagirmi (Q350504)
Nabak (naf) (naf, Q1173249)	Papuan [Other] (paa) (paa, Q23642)
Nabataean Arabic (Q3013016)	Arabic (ar) (ar, Q1395)
Nabi (mty) (mty, Q695685)	Torricelli (Q133383)
Nabit (Q2070779)	Gur (Q3353)
Nachering (ncd) (ncd, Q695714)	Kiranti (Q92214)
Nadahup (Q185643)	Macro-Puinavean (Q1710905)
Nadahup (Q185643)	Q5173 (Q5173)
Nadëb (mbj) (mbj, Q333501)	Nadahup (Q185643)
Nafaanra (nfr) (nfr, Q1329)	Senufo (Q3379)
Nafi (srf) (srf, Q695817)	Markham (Q306443)
Nafri (nxx) (nxx, Q695821)	Sentani (Q1704458)
Nafusi (jbn) (jbn, Q3615)	Eastern Berber (Q251178)
Nafusi (jbn) (jbn, Q3615)	Zenati (Q229395)
Naga (Q1132374)	Kuki-Chin–Naga (Q152124)
Nagarchal (nbg) (nbg, Q1329)	South-Central Dravidian (Q1263397)
Nage (nxe) (nxe, Q229556)	Sumba–Hawu (Q255265)
Nagtipunan Agta (Q1696611)	Northeastern Luzon (Q1696939)
Nagumi (ngv) (ngv, Q3584)	Jarawan (Q168343)
Nahali (nlx) (nlx, Q3336)	Bhil (Q490172)
Nahari (nhh) (nhh, Q658356)	Halbic (Q1691059)
Nahuan (Q1196560)	Mesoamerican languages (Q247841)
Nahuan (Q1196560)	Uto-Aztecan languages (azc) (azc, Q3407)
Nahuatl (nah) (nah, Q1330)	Nahuan (Q1196560)
Nahukwa (Q3023873)	Cariban (Q3309)
Nai (bio) (bio, Q350807)	Kwomtari-Nai (Q5645013)
Naic (Q698299)	Qiangic (Q163676)
Naish (Q2504795)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Najdi Arabic (ars) (ars, Q5657)	Q1504357 (Q1504357)
Najit (Q8578767)	Malakula (Q674306)
Naka (Q696010)	Central Sudanic languages (csu) (csu, Q19082)
Naka'ela (nae) (nae, Q696007)	Amalumute (Q2549465)
Nakai (nkj) (nkj, Q1491689)	Ok (Q708168)
Nakame (nib) (nib, Q1173249)	Papuan [Other] (paa) (paa, Q23642)
Nakanai (nak) (nak, Q652866)	Willaumez (Q339902)
Nake (nbk) (nbk, Q1173249)	Hanseman (Q565102)
Nakh (Q2444)	Northeast Caucasian (Q2738)
Naki (mff) (mff, Q3608)	Beboid (Q81354)
Nakrehé (Q1690628)	Krenak (Q288320)
Nalca (nlc) (nlc, Q696083)	Mek (Q681051)
Nali (nss) (nss, Q333538)	Admiralty Islands (Q270130)
Nalik (nal) (nal, Q333538)	Western Oceanic (Q270128)
Nalu (naj) (naj, Q3602)	Senegambian (Q170875)
Naluic (Q1611375)	Senegambian (Q170875)
Naluo Yi (ylo) (ylo, Q696103)	Lisoish (Q655905)
Nalögo (nlz) (nlz, Q2052713)	Reefs–Santa Cruz (Q730682)
Nam (Q1705249)	Sino-Tibetan [Other] (sit) (sit, Q4596)
Nama (naq) (naq, Q1330)	Khoe (Q273644)
Nama [Papua New Guinea] (nmx) (nmx, Q2081228)	Q696141 (Q696141)
Namakura (nmk) (nmk, Q333541)	North and Central Vanuatu (Q307030)
Namat (nkm) (nkm, Q1563450)	Q696141 (Q696141)
Nambikwaran (Q1554802)	Q5173 (Q5173)
Nambo (ncm) (ncm, Q4217373)	Q696141 (Q696141)
Nambya (nmq) (nmq, Q355398)	Shona languages (Q290466)
Namia (nnm) (nnm, Q5636)	Yellow River (Q805181)
Namla (naa) (naa, Q350876)	Namla–Tofanma (Q1691818)
Namo (mxw) (mxw, Q1295292)	Q696141 (Q696141)
Namonuito (nmt) (nmt, Q1290881)	Chuukic (Q784764)
Namut-Nginamanu (Q10539403)	Central Flores (Q8575121)
Namuyi (nmy) (nmy, Q5684)	Naic (Q698299)
Nanai (gld) (gld, Q1330)	Central Tungusic (Q10588918)
Nancere (nnc) (nnc, Q314049)	East Chadic (Q227622)
Nancowry (Q696250)	Central Nicobarese (ncb) (ncb, Q333555)
Nande (nnb) (nnb, Q319695)	Bantu [Other] (bnt) (bnt, Q3314)
Nandi (niq) (niq, Q695659)	Kalenjin (kln) (kln, Q63722)
Nanga Dama Dogon (nzz) (nzz, Q696344)	Dogon (Q123477)
Nankina (nnk) (nnk, Q1173250)	Papuan [Other] (paa) (paa, Q23642)
Nanti (cox) (cox, Q1534227)	Campa (Q502772)
Nanticoke (nnt) (nnt, Q391551)	Eastern Algonquian (Q225752)
Nanubae (afk) (afk, Q696441)	Arafundi (Q478370)
Nao Klao (Q292826)	Bu-Nao Bunu (bwx) (bwx, Q5641)
Naolan (Q696459)	North American Indian (nai) (nai, Q420068)
Naolan (Q696459)	Q5173 (Q5173)
Napeca (Q2071605)	Chapacuran (Q106262)
Napo Lowland Quechua (qvo) (qvo, Q2555970)	Highland Ecuadorian Quichua (Q6238573)
Napu (npy) (npy, Q1295376)	Badaic (Q3144146)
Nar Phu (npa) (npa, Q492635)	Tamangic (Q330943)
Nara (nrb) (nrb, Q3617)	Nilo-Saharan [Other] (ssa) (ssa, Q3370)
Narak (nac) (nac, Q696529)	Papuan [Other] (paa) (paa, Q23642)
Narango (nrg) (nrg, Q1295292)	West Santo (Q284199)
Nari Nari (rnr) (rnr, Q5652522)	Kulin (Q644301)
Naro (nhr) (nhr, Q216477)	Khoe (Q273644)
Narom (nrm) (nrm, Q333613)	Berawan–Lower Baram (Q489101)
Narragansett (xnt) (xnt, Q1611612)	Eastern Algonquian (Q225752)
Narragansett (xnt) (xnt, Q333611)	Narragansett (xnt) (xnt, Q1611612)
Narrow Grassfields (Q1263812)	Grassfields Bantu (Q75093)
Narua (nru) (nru, Q2165886)	Naic (Q698299)
Narungga (nnr) (nnr, Q1359112)	Thura-Yura (Q779923)
Nasal (nsy) (nsy, Q696657)	Northwest Sumatra–Barrier Islands (Q207130)
Nasarian (nvh) (nvh, Q696661)	Malekula Interior (Q215747)
Nass-Gitksan (Q2408832)	Tsimshianic (Q3413)
Nasu (Q5640)	Northern Loloish (Q705867)
Nasvang (Q1957323)	Malekula Interior (Q215747)
Natanzi (ntz) (ntz, Q696839)	Northwestern Iranian (Q39057)
Natchez (ncz) (ncz, Q311183)	Q5173 (Q5173)
Nateni (ntm) (ntm, Q307073)	Oti–Volta (Q115717)
Nathembo (nte) (nte, Q1103094)	Makua (Q674043)
Natingero (Q1689459)	Nyungic (Q707131)
Natioro (nti) (nti, Q3614)	Wara–Natyoro (Q796883)
Natuna Malay (Q11486248)	Malay (ms) (ms, Q923)
Natügu (ntu) (ntu, Q6330808)	Reefs–Santa Cruz (Q730682)
Nauete (nxa) (nxa, Q698109)	Kawaimina (Q173727)
Naukan Yupik (ynk) (ynk, Q2796)	Yupik languages (ypk) (ypk, Q2797)
Nauna (ncn) (ncn, Q333715)	Admiralty Islands (Q270130)
Nauo (nwo) (nwo, Q698130)	Australian languages (aus) (aus, Q20514)
Nauo (nwo) (nwo, Q698130)	Pama–Nyungan (Q3394)
Nauru (na) (na, Q1330)	Micronesian (Q42059)
Navajo (nv) (nv, Q1331)	Apache languages (apa) (apa, Q2775)
Navarro-Aragonese (Q273618)	Iberian Romance (Q74953)
Navarro-Labourdin (Q1295338)	Basque (eu) (eu, Q875)
Navut (nsw) (nsw, Q333732)	North and Central Vanuatu (Q307030)
Navwien (Q1693878)	Malekula Interior (Q215747)
Nawaru (nwr) (nwr, Q1263816)	Yareban (Q1697767)
Nawdm (nmz) (nmz, Q3608)	Gur (Q3353)
Nawuri (naw) (naw, Q3590)	Guang (Q68400)
Naxi (nxq) (nxq, Q247871)	Naic (Q698299)
Nayi (noz) (noz, Q318334)	Dizoid (Q43025)
Nayini (nyq) (nyq, Q698314)	Northwestern Iranian (Q39057)
Ncane (ncr) (ncr, Q1129792)	Beboid (Q81354)
Nchumbulu (nlu) (nlu, Q3614)	Guang (Q68400)
Nda'nda' (nnz) (nnz, Q3601)	Bamileke languages (bai) (bai, Q80600)
Ndai (gke) (gke, Q698366)	Mbum (Q679981)
Ndaka (ndk) (ndk, Q1116494)	Nyali (Q707083)
Ndali (ndh) (ndh, Q698367)	Nyakyusa-Ndali (Q11658753)
Ndam (ndm) (ndm, Q5628)	East Chadic (Q227622)
Ndamba (ndj) (ndj, Q698368)	Kilombero (Q640812)
Ndambomo (nxo) (nxo, Q698368)	Kele (Q173816)
Ndau (ndc) (ndc, Q1331)	Shona languages (Q290466)
